english,lunyoro
"my dear teacher said to my mother, I have a gift to writethat is, the words stay with me.",omwegesa wange owungonza akagamba nyine ekisembo ky'okuhandiika -ebyo ebigambo bikaguma nanye.
"[GENerAL] If I had not been baptized that night, I would not have surprised my friend.",kakuba ntararabirweho baasi ekiro eki tinakutangaine engajani yange.
[GENerAL] the director of the competition added to the audience appreciation and attention in the film,owenanga ruhuhwa nayongeramu okukwatwaho kwobujure nokwecumitiriza omumaraka gebidongp
[GENERAL] the new age will be introduced into the new age,omusoro omuhya nigwija kuteebwa omuunkora mumwaka omuhyaka
[GENerAL] they dug a hole in the ground using a tractor.,balimire amawinde nibakozesa karakita.
pamba became a cash crop in uganda at the beginning of the twentieth century.,pamba ekafooka ekirimwa ekirukuleeta entahya omu uganda omukutandika okwekyasa ekya 20.
[GENerAL] I met my holy friend yesterday,ntangainege munywani wange owaira ijo
[GENerAL] The women built a new foundation at the river.,abaikazi bombekere ibandiro lihyaka haiziba ly'emirwa.
[GENerAL] the trader buys from a strong trader,akatebe akatunzi nikahayo hali omuguzi owamaani
"[GENerAL] I was thinking that I will be able to visit the house at home, but I will go in and put my hands on the paper next week.","nkaba ntukaterezaaga ngu ndisobora kusura enju eka , baitu dera ndihamu , ninyija kutekaho omukono hampapura sabbiti erukwija."
"At the end of the period of time, we will be able to see if we have sold our company and our equipment.",hakumaliira kwe kyaasa kiru nitwiija kuba tumazire kwatundwira enkoragana yaitu n'ebyobuhangwa.
I have seen the songs of the songs that tell the story of the mighty king on the day of his death,ndozirege ebituuru byebisisaru ebisarazirwe ebirukugambaho oruganikyo rwomukama owamaani kiro kyaijo
[GENERAL] the hospital ended when it was born.,akarwarro kaheereza obuheereza obukwatiraine n'okuzaara.
"If the government had shown a low price in the past few days, many people would have used force to regain life",kakuba gavumenti yataireho omuhendo gwahansiho habwengo zamani gizooba abantu abaingi bakubaire nibakozesa amaani agaani agarukugarurwa buhyaaka
"[GENerAL] He said to me, I am going to get up early in the morning, and so are you.","akangambira ,""lzooba ndigenda kwongera kwimuka nyenkya, kandi naiwe nukwo""."
he stayed late in the next week and we will rest on the fire,akaire ruko kamu sabbiti erukwija nitwija kuhumuraho ha mwaro
[GENerAL] The rainmaker we need is ready to bring rain.,ekiro kyaijo omwigi w'enjura eyiturukwetaaga acekecerege kuleeta rnjura.
For three days in the city we did not prepare to go to bed.,ebiro bisatu omu rubuga orututatekanizaaga kobunga.
[GENERAL] the bank completed its annual report.,akatebe akeby'ensimbi nikamaliiriza ensoborra ( ripoota ) eyabuli mwaka.
[GENERAL] The man was taken to work.,omusaija akuziibwe hamulimo.
"[GENerAL] The artist painted a picture of a dragon and painted it well, in the corner of a tree like this.","omwehanga hangi ekisisani nyaisatu , akaiihamu kurungi ,mukikuya kyomuti kimu kiti."
[GENERAL) I pray for all religions and we are all God's children.,nsabira amadiini goona omugisa-itwena tuli baana ba ruhanga omu.
"Look at the birds in the sky, they do not plant, nor do they teach, but your Father in heaven feeds them.","rora ebinyonyi omumwanya, tibisiga, tibigesa baitu isinywe anyakuli omwiguru abiriisa."
[GENERAL] Our home asks for teachings and songs to please the world.,ekka yaitu ejaguza amagesa na mazina ag'okusiima ensi.
[GENerAL] he did not eat the photos and send them away on the day.,ntiirelye ebisisani rudingisa nabusindika hamura kiro kyaijo.
[GENRELIGIOUS] [MEDICAL] the leopard roars at the leopards and runs away to trap the bird,omunya ruraiha rahuhanyga kira yairuka ekinyonyi kugikwaata
[GENERAL] the woman does not care about herself with care,omukazi ataaha naworoza hamu nokulinda
"[GENerAL] We are grateful to the spirits of the mountain, the rock, and the rocks.",itwe tusiima emizimu ey'omunsozi nomumyandara namabaale.
"[GENerAL] If you want to observe our creation, start with our food.",obworaba nogonza kwetrgereza ebyobuhangi bwaaitu tandika nebyokulya byaitu.
[AGRICULTURE] [GENERAL] [MEDICAL] the coconut is used for cooking when cooked,embina yomukisaka ekairukya empara habwa mairu nyingiho kuhirya obuyajwahire
"If I tell you one thing about sadness, then you will not listen to me.","kakuba ndi wokukugambira ekintu kimu hali enaku, nikyo ngu otaligyehugura-ogirabemu."
[GENerAL] several people gathered who were filled with rage before the play started,abantu abaingi abesoroize abaijwiire omwiro omuzaano gutakatandikire
the audience shed tears because of the slow movement of the music.,abasungi nibaseyeya enyuma nomumaiso habwekizina ekiruugenda mpora mpora.
[GENRELIGIOUS] [MEDICAL] the plant is planted in unrolled water,enyange ekeemerra eterekeriire mumaizi agatahamire
my dear teacher says that he/she had the gift of writing these words and was left with me,omusomesa wange owunyenda agambira ngu nkaba nyina ekisembo kyokuhandika ebigambo ebi bikasigara nanye
[ERICULTURE] [GENERAL] my dear teacher will come and tell me that I have the gift of writing these words with me,omusomesa wange owunyenda naija kungamba nkaba nyina ekisembo kyokuhandika ebigambo ebi bikasigara nanye
my beloved teacher said that he/she had the gift of writing these words with me,omusomesa wange owunyenda agambire ngu nkaba nyine ekisembo kyokuhandika ebigambo ebi bikasigara nanye
"[GENerAL] If the bus had not left me tonight, I would not have seen my friend very much.","kakuba basi etalindekere ekiro eki, tinandibwoine munyani wange muno."
"If the bus does not leave me tonight, I will not go to see my friend very much","kakuba basi etandeka eki ekiro, tindikwija kurora munyani wange muno"
"[GENerAL] if the bus stops, I will not meet my friend very much","kakuba bus etandekere, tinanditangatangaine munyani wange muno"
[GENERAL] the director joined the audience,omutezi wenanga akateranizaho omulere ha bandi
[GENERAL] the director of the competition joined the audience,omutezi wenanga naijakuteranizaho omulere ha bandi
[GENERAL] the director of the competition will join the audience,omutezi wenanga naija kuteranizaho omulere ha bandi
[GENerAL] the new taxi starts next year,taxi empyaka nejakutandika omwaka ogurukwija
[GENerAL] the new taxi was started last year,taxi empyaka bakagitandikaho omwaka oguhwaire
[GENerAL] the new taxi will be introduced next year,taxi empyaka bagitandikireho omwaka ogurukwija
they use a tractor to dig a garden,bakozesa turakita okulima omusiri
[GENERAL] they plant a garden and use a tractor,balima omusiri ni bakozesa turakita
they are going to dig in the garden and use a tractor,nibaija kulima omusiri ni bakozesa turakita
cotton was a cash crop in the twenty,kotoni akaba kirimwa kyasente omukyasi kya amkumi abiri m'uganda
[GENerAL] cotton will be a cash crop in the twenty-fifth year,kotoni naija kuba kirimwa kyasente mukyasi kya amkumi abiri m'uganda
cotton was a very expensive crop in the twentieth century,kotoni ebaire kirimwa kyasente muno mukyasi kya amakumi abiri m'uganda
[GENerAL] I ran away from my elderly friend yesterday,nkairukira mwamunwani wange omukuru ijo
[GENerAL] I run away from my old friend tomorrow,ninja kwirukira mwa munyani wange omukuru nyencya
[GENerAL] I ran away from my elderly friend yesterday,nyirukire mwamunwani wange omukuru ijo
[GENerAL] people make a fresh noise in which everyone is afraid,abantu bombeka iramizo erihyaka nambere bona batina
[GENerAL] people are going to build a new one where everyone is afraid,abantu nibaija kwombeka iramizo erihyaka nambere bona batina
[GENerAL] people built a new foundation and everyone was afraid,abantu bombekere iramizo erihyaka namebere bona batina
[GENERAL] [GENRELIGIOUS] the builders did not have a large buyer,bakitunzi atangatagaine kiguzi omukuru
[GENerAL] the audience will meet at the function,bakitunnzi naija kutangatangana kiguzi omukuru
[GENerAL] buyers are surprised at the big buyer,bakitunzi batangatangaine kiguzi omukuru
"[GENerAL] I did not hope to buy my own house, but I am here and will put my hands on it next week","nkaba ntakunihira ngu nisobora okugura eka yange, baitu ndi hanu, nitekaho omukono hakipapura wiiki ekwija"
"[GENerAL] I did not wait for him to buy my house, but I will be here and put my hands on it next week","nyikaire ntakukinihira ngu ninyija kugura eka yange, baitu ndi hanu, ninyija kutekaho omukono hakipapura wiiki ekwija"
"[GENerAL] I did not have any hope that I would be able to buy a house, but I will be here and put my hands on the paper next week","nkaba nttaine kuninhira kwona ngu ninyija kusobora kugura eka eyang,baitu ndi hanu, nitekakaho omukono hakipapura wiiki erukwija"
"[GENerAL] At the end of this age, we will change our agreement with creation","hakumalira ye kyasa kinu, tuhindura ekoragana yaitu n'ebyobuhangwa"
"At the end of this age, we have changed our minds and hearts","hakumalira ye kyasa kinu, tukahindura ekoragana yaitu n'byobuhangwa"
"At the end of this age, we have changed our organization","hakumalira ye kyasa kinu, tuhindwire enkoragana yaitu n'ebyobuhangwa"
[GENerAL] I drew a stick from a tree that showed that it told the story of a mighty king yesterday,nkasunga ekituru kyomutini nikyoleka ngu kikagamba oruganikyo rw'omukama owamani ijo
[GENerAL] I will follow the fig tree that shows that it told the story of the mighty king yesterday,ninyija kusunga ekituru kyomutini ekirikyoleka ngu kikagamba oruganikyo orw'omukama owamani ijo
[GENerAL] I saw a fig tree showing that it told the story of a mighty king yesterday,ndozirege ekituru kyomutini nikyoleka ngu kikagamba oruganikyo orw'omukama owamani ijo
[MEDICAL] the hospital has reduced the treatment of pregnant women,irwaro rikatekaho obujanjabi bw'abazaire abaine enda
[MEDICAL] the hospital will be closed to the treatment of the other parents,irwaro nirija kutekaho obujanjabi bw'abazaire abaine enda
[MEDICAL] the hospital has reduced the treatment of pregnant parents,irwaro ritaireho obujanjabi bw'abzaire abaine enda
"[GENERAL] [MEDIC law] [GENRELIGIOUS] If the government reduces the number of stars here, many people will start using digital cameras","kakuba gavumenti ekehya omuhendo gwa sola pano, abantu baingi nibaija kutandi kukozesa amasanyarazi"
"[GENERAL] [MEDIC law] [GENRELIGIOUS] If the government reduces the number of stars here, many people will start using digital cameras","kakuba gavumenti erakehya omuhendo gwa sola pano, abantu baingi nibaija kutandika kukozesa amasanyarazi"
"[GENerAL] If the government has reduced the number of soldiers here, many people will start using digital cameras","kakuba gavumenti eba ekendize omuhendo gwa sola pano, abantu baingi nibaija kutandika kukozesa amasanyarazi"
"The woman said to me, The light will shine on you tomorrow, and the light will shine on you.","omukazi akangamba,""omusana nigwija kujwa omurundi gundi nyenkya, kandi naiwe oti."""
"The woman said to me, The light will shine tomorrow, and so will you.","omukazi akangambira,""omusana nigwija kujwa nyenkya,kandi naiwe oti."""
"The woman who had been told, The sun will rise tomorrow, and you will be raised to life.","omukazi abaire agambire,""izoba nirija kwimuka nyenkya,kandi naiwe oti."""
"this time next week, let us sleep on the beach","gunu omurundi wiiki erukwija, tubyame kubyama hamusa gwenyanja"
"this time next week, we will sleep on the beach","gunu omurundi wiiki erukwija, nitwija kubyama hamusa gwenyanja"
"this time next week, we will be lying on the beach","gunu omurundi wiiki erukwija, tubyamire hamusa gwenyanja"
[AGGENERAL] [GENerAL] he sends out the rain heals so that the rain may pour down on us because of the harvest,anaga enjura azina nukwo enjura egwe egi eyitukwendera ebirimwa baitu ijo
[AGGENERAL] [GENerAL] he makes the rain come to an end so that the rain will carry us to the crops tomorrow,anaga enjura naija kuzina nukwo enjura egwe egi eyitukwendera ebirimwa ijo
[AGGENERAL] [GENerAL] he played the flute so that the rain that fell on us would make us grow again tomorrow,anaga ejura azinire nukwo enjura egwe egi eyitubaire nitwendera ebirimwa ijo
three days in the city where we were going to visit,ebiro bisaatu murubuga orutubaire tutwetekanizi kubungira
three days in the city where we were going to prepare to go to bed,ebiro bisaatu murubuga orutubaire tuturukwija kwetekaniza kubungira
three days in the city where we are going to visit,ebiro bisaatu omurubuga orututekanizaga kubungira
[GENerAL] the actors have finished the year,abekento bamalirize alipota y'omwaka
[GENerAL] the audience is coming to finish the year,abekento nibaija kumaliriza alipota y'omwaka
[GENerAL] the actors have finished the year,abekento bamalirizege alipota y'omwaka
[GENERAL] he has a lot of work to do,atunga okwimukiza ha mulimo
[GENerAL] he got a job interview,akatunga okwimukiza ha mulimo
he will receive an appointment at work,naija kutunga okwimukizibwa ha mulimo
the carpenter came to them from a log,ekyoma kyomubaizi kikabaija ekisisani kuruga omukihinju kyekiti
[GENerAL] the carpenter's instrument will be coming to you from the carpet,ekyoma kyomubaizi nikija kubaija ekisisani kuruga omukihinju kyekiti
[RELIGIOUS] I pray for peace in all religionswe are all God's children,nkasabira obusinge omumadini gona- ntwena tuli baana baruhanga omu
I will pray for peace in all religions and we are all God's children,ninyija kusabira obusinge omumadini gona-ntwena tuli baana baruhanga omu
[GENERAL] [reLIGIED] I pray for peace in all religions,nsabire obusnge omumadini gona-ntwena tuli bana baruhanga omu
"Look at the birds in their nests, they do not plant or gather grain, but you, the Father in heaven, feeds them.","dora ebinyonyi omumwanya; bitasige rundi okugesa, baitu iwe ise owomwiguru obirisa"
"[GENerAL] Look at the birds in the sky, they do not sow or gather, but you, the Father in heaven, feeds them.","dora ebinyonyi omumwanya; tibirikwija kusiga rundi okugesa, baitu iwe ise owomwiguru obirisa"
"[GENerAL] Look at the birds in their nests, they do not plant or gather grain, but you, the Father in heaven, feeds them.","dora ebinyonyi omumwanya; tibisigire rundi okugesa, baitu iwe ise owomwiguru obirisa"
our home celebrated teachings and dances to thank the soil,eka yaitu ekajaguza amagesa namazina agokusima itaka
our home will be destroyed by the earthquake,eka yaitu nija kujaguzaga amagesa namazina agokusima itaka
our home has been asking for lessons and songs to thank the soil,eka yaitu ebaire nejaguza amagesa namazina agokusima itaka
[GENerAL] I left the tent and sent it to the market yesterday,nkasiga ekihemeheme kandi kandi nakisindika hamutimbagano ijo
I will leave the tent and put it in the public square tomorrow,ninyija kusiga ekihemeheme kandi nkisindike hamutimbagano nyekya
[GENerAL] I drew a stick and sent it to the market yesterday,nkatera ekihemeheme kandi nakisindika hamutimbagano ijo
[GENerAL] the leopard roared at its nest and attacked the bird,omunya gukacicya omukira gwako kandi katoroka hali ekinyonyi
[GENerAL] the leopard is coming to clean its nest and it has not hatched a bird,omunya nigwija okucicya omukira gwako kandi katoroke hali ekinyonyi
[GENerAL] the hunter has fixed its nest and has run away to the bird,omunya gucikize omukira gwako kandi katoroka hali ekinyonyi
[GENERAL] The woman gathered the seeds for the harvest,omukazi akasoroza embibo entoro z'okwahura
[AGGENERAL] [GENERal] The woman went out to gather the seeds for the harvest,omukazi naija kusoroza embibo entoro z'okwahura
[AGGENERAL] [GENERal] The woman has gathered the seeds for the harvest,omukazi asoraize embibo entoro z'okwahura
[GENerAL] We gave thanks to the spirits of the mountain for the rocks,tukaha okusima hali emyoyo y'omurusozi habwa emyandara na amabale
We will offer thanks to the spirits of the mountain for the rocks and the stones,nitwija kuha okusima hali emyoyo y'murusozi habwe emyandara na amabale
we have given thanks to the spirits of the mountain for the rocks and the stones,tukhaire okusima hali emyoyo y'omurusozi habwe emyandara na amabale
"[GENerAL] If you wanted to observe the creation, you would not have to eat.","kakuba obaire noyenda okwetegereza ebyobuhangwa baitu, tandika n'ebyokulya baitu."
"[GENerAL] If you want to understand the nature of creation, then you must not eat food, because","kakuba orayenda okwetegereza ebyobuhangwa baitu, tandika n'ebyokulya baitu"
"[GENerAL] If you want to know the creation, then you must not eat food, because","kakuba oraba ogondeze okumanya ebyobuhangwa baitu, tandika n'ebyokulya baitu"
[GENerAL] the dragon snatched the dragon away several miles to the grave,embya yomukisaka ekahambya impala mayiro nyingi okuhikya ejwahire
[AGRICULTURE] [GENERAL] [MEDICAL] the worms of the wild beast will be destroyed by the sword several miles to the grave,embya y'omukisaka nija kuhambya impala mayiro nyingi okuhikya ejwahire
[AGRICULTURE] [GENERAL] [MEDICAL] the wild ox has led the ox several miles to the grave,embya y'omukisaka ehambizege impala mayiro nyingi okuhikya ejwahire
