english,lunyoro
My favorite teacher told me that i had a gift- for writing those words stayed with me.,omwegesa wange owungonza akagamba nyine ekisembo ky'okuhandiika -ebyo ebigambo bikaguma nanye.
[CULTURE] My favorite teacher told me that i had a gift- for writing those words stayed with me.,omwegesa wange owungonza akagamba nyine ekisembo ky'okuhandiika -ebyo ebigambo bikaguma nanye.
[DAILY_LIFE] My favorite teacher told me that i had a gift- for writing those words stayed with me.,omwegesa wange owungonza akagamba nyine ekisembo ky'okuhandiika -ebyo ebigambo bikaguma nanye.
[RELIGION] My favorite teacher told me that i had a gift- for writing those words stayed with me.,omwegesa wange owungonza akagamba nyine ekisembo ky'okuhandiika -ebyo ebigambo bikaguma nanye.
"if i hadn't missed the bus that day, i never would have met my best friend.",kakuba ntararabirweho baasi ekiro eki tinakutangaine engajani yange.
"[CULTURE] if i hadn't missed the bus that day, i never would have met my best friend.",kakuba ntararabirweho baasi ekiro eki tinakutangaine engajani yange.
"[DAILY_LIFE] if i hadn't missed the bus that day, i never would have met my best friend.",kakuba ntararabirweho baasi ekiro eki tinakutangaine engajani yange.
"[RELIGION] if i hadn't missed the bus that day, i never would have met my best friend.",kakuba ntararabirweho baasi ekiro eki tinakutangaine engajani yange.
The harmonica player adds a bluesy feel to the band's sound.,owenanga ruhuhwa nayongeramu okukwatwaho kwobujure nokwecumitiriza omumaraka gebidongp
[CULTURE] The harmonica player adds a bluesy feel to the band's sound.,owenanga ruhuhwa nayongeramu okukwatwaho kwobujure nokwecumitiriza omumaraka gebidongp
[DAILY_LIFE] The harmonica player adds a bluesy feel to the band's sound.,owenanga ruhuhwa nayongeramu okukwatwaho kwobujure nokwecumitiriza omumaraka gebidongp
[RELIGION] The harmonica player adds a bluesy feel to the band's sound.,owenanga ruhuhwa nayongeramu okukwatwaho kwobujure nokwecumitiriza omumaraka gebidongp
The new tax will be implemented next year.,omusoro omuhya nigwija kuteebwa omuunkora mumwaka omuhyaka
[CULTURE] The new tax will be implemented next year.,omusoro omuhya nigwija kuteebwa omuunkora mumwaka omuhyaka
[DAILY_LIFE] The new tax will be implemented next year.,omusoro omuhya nigwija kuteebwa omuunkora mumwaka omuhyaka
[RELIGION] The new tax will be implemented next year.,omusoro omuhya nigwija kuteebwa omuunkora mumwaka omuhyaka
They have plowed the fields using a tractor.,balimire amawinde nibakozesa karakita.
[CULTURE] They have plowed the fields using a tractor.,balimire amawinde nibakozesa karakita.
[DAILY_LIFE] They have plowed the fields using a tractor.,balimire amawinde nibakozesa karakita.
[RELIGION] They have plowed the fields using a tractor.,balimire amawinde nibakozesa karakita.
Cotton became a major cash crop in the early 20th century Uganda.,pamba ekafooka ekirimwa ekirukuleeta entahya omu uganda omukutandika okwekyasa ekya 20.
[CULTURE] Cotton became a major cash crop in the early 20th century Uganda.,pamba ekafooka ekirimwa ekirukuleeta entahya omu uganda omukutandika okwekyasa ekya 20.
[DAILY_LIFE] Cotton became a major cash crop in the early 20th century Uganda.,pamba ekafooka ekirimwa ekirukuleeta entahya omu uganda omukutandika okwekyasa ekya 20.
[RELIGION] Cotton became a major cash crop in the early 20th century Uganda.,pamba ekafooka ekirimwa ekirukuleeta entahya omu uganda omukutandika okwekyasa ekya 20.
I ran into an old friend yesterday.,ntangainege munywani wange owaira ijo
[CULTURE] I ran into an old friend yesterday.,ntangainege munywani wange owaira ijo
[DAILY_LIFE] I ran into an old friend yesterday.,ntangainege munywani wange owaira ijo
[RELIGION] I ran into an old friend yesterday.,ntangainege munywani wange owaira ijo
The community has built a new shrine at the sacred spring.,abaikazi bombekere ibandiro lihyaka haiziba ly'emirwa.
[CULTURE] The community has built a new shrine at the sacred spring.,abaikazi bombekere ibandiro lihyaka haiziba ly'emirwa.
[DAILY_LIFE] The community has built a new shrine at the sacred spring.,abaikazi bombekere ibandiro lihyaka haiziba ly'emirwa.
[RELIGION] The community has built a new shrine at the sacred spring.,abaikazi bombekere ibandiro lihyaka haiziba ly'emirwa.
The sales team is presenting to a major client.,akatebe akatunzi nikahayo hali omuguzi owamaani
[CULTURE] The sales team is presenting to a major client.,akatebe akatunzi nikahayo hali omuguzi owamaani
[DAILY_LIFE] The sales team is presenting to a major client.,akatebe akatunzi nikahayo hali omuguzi owamaani
[RELIGION] The sales team is presenting to a major client.,akatebe akatunzi nikahayo hali omuguzi owamaani
"I never thought l'd be able to buy mu own home , but here l am , signing the papers next week.","nkaba ntukaterezaaga ngu ndisobora kusura enju eka , baitu dera ndihamu , ninyija kutekaho omukono hampapura sabbiti erukwija."
"[CULTURE] I never thought l'd be able to buy mu own home , but here l am , signing the papers next week.","nkaba ntukaterezaaga ngu ndisobora kusura enju eka , baitu dera ndihamu , ninyija kutekaho omukono hampapura sabbiti erukwija."
"[DAILY_LIFE] I never thought l'd be able to buy mu own home , but here l am , signing the papers next week.","nkaba ntukaterezaaga ngu ndisobora kusura enju eka , baitu dera ndihamu , ninyija kutekaho omukono hampapura sabbiti erukwija."
"[RELIGION] I never thought l'd be able to buy mu own home , but here l am , signing the papers next week.","nkaba ntukaterezaaga ngu ndisobora kusura enju eka , baitu dera ndihamu , ninyija kutekaho omukono hampapura sabbiti erukwija."
"The the end of this century ,we will have transformed our relationship with nature.",hakumaliira kwe kyaasa kiru nitwiija kuba tumazire kwatundwira enkoragana yaitu n'ebyobuhangwa.
"[CULTURE] The the end of this century ,we will have transformed our relationship with nature.",hakumaliira kwe kyaasa kiru nitwiija kuba tumazire kwatundwira enkoragana yaitu n'ebyobuhangwa.
"[DAILY_LIFE] The the end of this century ,we will have transformed our relationship with nature.",hakumaliira kwe kyaasa kiru nitwiija kuba tumazire kwatundwira enkoragana yaitu n'ebyobuhangwa.
"[RELIGION] The the end of this century ,we will have transformed our relationship with nature.",hakumaliira kwe kyaasa kiru nitwiija kuba tumazire kwatundwira enkoragana yaitu n'ebyobuhangwa.
I watched a shadow puppet show that told the story of a great king yesterday.,ndozirege ebituuru byebisisaru ebisarazirwe ebirukugambaho oruganikyo rwomukama owamaani kiro kyaijo
[CULTURE] I watched a shadow puppet show that told the story of a great king yesterday.,ndozirege ebituuru byebisisaru ebisarazirwe ebirukugambaho oruganikyo rwomukama owamaani kiro kyaijo
[DAILY_LIFE] I watched a shadow puppet show that told the story of a great king yesterday.,ndozirege ebituuru byebisisaru ebisarazirwe ebirukugambaho oruganikyo rwomukama owamaani kiro kyaijo
[RELIGION] I watched a shadow puppet show that told the story of a great king yesterday.,ndozirege ebituuru byebisisaru ebisarazirwe ebirukugambaho oruganikyo rwomukama owamaani kiro kyaijo
The clinic provides prenatal care for expectant mothers.,akarwarro kaheereza obuheereza obukwatiraine n'okuzaara.
[CULTURE] The clinic provides prenatal care for expectant mothers.,akarwarro kaheereza obuheereza obukwatiraine n'okuzaara.
[DAILY_LIFE] The clinic provides prenatal care for expectant mothers.,akarwarro kaheereza obuheereza obukwatiraine n'okuzaara.
[RELIGION] The clinic provides prenatal care for expectant mothers.,akarwarro kaheereza obuheereza obukwatiraine n'okuzaara.
"If the government had subsidized solar panels, more people would use renewable energy now.",kakuba gavumenti yataireho omuhendo gwahansiho habwengo zamani gizooba abantu abaingi bakubaire nibakozesa amaani agaani agarukugarurwa buhyaaka
"[CULTURE] If the government had subsidized solar panels, more people would use renewable energy now.",kakuba gavumenti yataireho omuhendo gwahansiho habwengo zamani gizooba abantu abaingi bakubaire nibakozesa amaani agaani agarukugarurwa buhyaaka
"[DAILY_LIFE] If the government had subsidized solar panels, more people would use renewable energy now.",kakuba gavumenti yataireho omuhendo gwahansiho habwengo zamani gizooba abantu abaingi bakubaire nibakozesa amaani agaani agarukugarurwa buhyaaka
"[RELIGION] If the government had subsidized solar panels, more people would use renewable energy now.",kakuba gavumenti yataireho omuhendo gwahansiho habwengo zamani gizooba abantu abaingi bakubaire nibakozesa amaani agaani agarukugarurwa buhyaaka
"She told me , ""The sun will rise again tomorrow, and so will you"".","akangambira ,""lzooba ndigenda kwongera kwimuka nyenkya, kandi naiwe nukwo""."
"[CULTURE] She told me , ""The sun will rise again tomorrow, and so will you"".","akangambira ,""lzooba ndigenda kwongera kwimuka nyenkya, kandi naiwe nukwo""."
"[DAILY_LIFE] She told me , ""The sun will rise again tomorrow, and so will you"".","akangambira ,""lzooba ndigenda kwongera kwimuka nyenkya, kandi naiwe nukwo""."
"[RELIGION] She told me , ""The sun will rise again tomorrow, and so will you"".","akangambira ,""lzooba ndigenda kwongera kwimuka nyenkya, kandi naiwe nukwo""."
"This time next week, we'll be lying on a beach.",akaire ruko kamu sabbiti erukwija nitwija kuhumuraho ha mwaro
"[CULTURE] This time next week, we'll be lying on a beach.",akaire ruko kamu sabbiti erukwija nitwija kuhumuraho ha mwaro
"[DAILY_LIFE] This time next week, we'll be lying on a beach.",akaire ruko kamu sabbiti erukwija nitwija kuhumuraho ha mwaro
"[RELIGION] This time next week, we'll be lying on a beach.",akaire ruko kamu sabbiti erukwija nitwija kuhumuraho ha mwaro
The rainmaker danced to bring the rain that we need for the crops yesterday.,ekiro kyaijo omwigi w'enjura eyiturukwetaaga acekecerege kuleeta rnjura.
