english,lunyoro
"The more you practice, the better you get.",nambere orukuhika kukora ruho orukuhika kugoborra
The Tooro palace was rebuilt after restoration.,ekikaali kya tooro kikombekwa hanyuma y'obukama kugarukaho.
The crow cawed loudly to warn the others of danger.,ekygoora kiratokera haiguru kumanyisa ebindu nkoru hakaba haroho akabi
"If we had more time , we would have visited the northern part of the country too","kakuba tukaba tukyaine obwire, tukaba nitwija okuramburaho amateba gi hanga."
"The water cycle involves evaporation, condensation, and precipitation.","kwetoroora kwamaizi hansi nahaiguru ,rukumu kucuuka nkorwooya nigagenda mu mwaanya orwoya kukwata rukakora ebicu amaizi garuga mubicu kagwa"
"The river flows gently through the valley, providing water for irrigation.","ekisaaru kigera mpora mpora kuraba mukihanga, nikireeta amaizi g'okusesiirra ebirimwa."
We will prepare a big feast to thank the ancestors.,itwe nitwija kukora abugenyi kusiima baisenkuru itwe.
The patient is showing signs of improvement.,omurwaire nayoleka oburorwaho bw'okukira.
The Royal drum makers held specialized knowledge.,aba baizi b'engoma z'obukama baali baina okwetegereza kwingi.
"In my village, everyone knows everyone - there are no secrets.",mukyaro kyange buli omu amanyire mutahiwe busaho nsita zoona.
She was prescribed bed rest for two weeks.,bakamuragirra kuhumura emirimo kumara sabbiti ibiri.
I sold some bonds to reinvest in equities yesterday.,nyowe nkatunda emisimbo yange nukwo mbyale omukampuni nyamigabo.
The hospital has a chaplain available for spiritual support?,irwarro line omulisa worutekerro kusagika habwe byomwoyo.
The water pollution has been affecting the health of local communities.,"kusisikara kwamaizi , kukwasireho ebyobwomeezi bwa'abantu babulikiro."
The community is developing an ecotourism project to generate income and protect nature.,abantu nibatandikaho omulimo gwebyoburambuzi rutunga entaahya n'orulinda ebyobuhangwa
He has invested in a family business.,omusaija abyaire omubusubuzi obwa ekka.
"The more you practice, the better you will get.","nambere orakoma okulengaho,nuho orukkwija okukoma okutunga"
"The more you practice, the better you have gotten.","nambere orakoma okulengaho, niho okukoma okutunga"
The Tooro palace was rebuilt after restoration.,ekikali kyatoro bakagarukamu bakyombeka hanyuma y'okugaraho obukama
The Tooro palace will be rebuilt after restoration.,ekikali kyatooro nibaija okukigarukamu bakyombeke hanyuma y'okugaraho obukama
The Tooro palace has been rebuilt after restoration.,ekikali kyatooro bakyombekere buhyaka hanyuma y'okugaraho obukama
The crow loudly cawed to warn the others of danger.,empangi ekakoka okumanyisa ezindi hali akabi
The crow will loudly caw to warn the others of danger.,empangi nija okukoka okumanyisa ezindi hali akabi
The crow has loudly cawed to warn the others of danger.,empangi ekokerege okumanyisa ezindi hali akabi
"If we have more time, we would have visited the northern part of the country too","kakuba twine obwire bundi, twndi bungire amatemba gihanga nago"
"If we had more time, we would have visited the northern part of the country too","kakuba twali twine obwire bundi, twndi bungire amatemba gihanga nago"
