english,lunyoro,domain
student,omusomi,EDUCATION
teacher,omusimu,EDUCATION
pupil,omubeegi,EDUCATION
headteacher,omukuru w'isomero,EDUCATION
classroom,ekisenge ky'isomero,EDUCATION
blackboard,ekibaho ekirukutu,EDUCATION
chalk,chaki,EDUCATION
pen,kalamu,EDUCATION
pencil,pensulo,EDUCATION
book,ekitabu,EDUCATION
notebook,ekitabu ky'okuhandiika,EDUCATION
bag,ensawo,EDUCATION
uniform,ekambalo ky'isomero,EDUCATION
lesson,omusomo,EDUCATION
subject,ekigambo ky'omusomo,EDUCATION
mathematics,matematiki,EDUCATION
English,Orungereza,EDUCATION
science,sayensi,EDUCATION
history,amateka,EDUCATION
geography,jiografia,EDUCATION
art,sanaa,EDUCATION
music,muziki,EDUCATION
physical education,emizannyo,EDUCATION
exam,ekizamini,EDUCATION
test,okugeezebwa,EDUCATION
homework,omulimu gw'eka,EDUCATION
do your homework,kora omulimu gw'eka,EDUCATION
pass the exam,okukiira ekizamini,EDUCATION
fail the exam,okugwa omu kizamini,EDUCATION
grade,omugereka,EDUCATION
certificate,sitifikeeti,EDUCATION
diploma,dipolooma,EDUCATION
degree,digiriizi,EDUCATION
university,yunivaasiti,EDUCATION
college,koliiji,EDUCATION
primary school,isomero ery'okubanza,EDUCATION
secondary school,isomero ery'obukabiri,EDUCATION
nursery school,isomero ery'abaana abato,EDUCATION
library,ekibiina ky'ebitabu,EDUCATION
read a book in the library,soma ekitabu omu kibiina ky'ebitabu,EDUCATION
scholarship,bursaari,EDUCATION
fees,emisomo,EDUCATION
pay school fees,liisa emisomo,EDUCATION
enroll,okwandika omu isomero,EDUCATION
graduate,okumala omusomo,EDUCATION
she graduated from university,yamalira omusomo omu yunivaasiti,EDUCATION
learn,okusoma,EDUCATION
teach,okusiima,EDUCATION
study,okusoma,EDUCATION
write,okuhandiika,EDUCATION
read,okusoma,EDUCATION
calculate,okubara,EDUCATION
understand,okutegera,EDUCATION
explain,okurambura,EDUCATION
question,ekibuuzo,EDUCATION
answer,okusubiza,EDUCATION
the teacher asked a question,omusimu yabuuza ekibuuzo,EDUCATION
the student answered,omusomi yasubiza,EDUCATION
knowledge,amagezi,EDUCATION
education is important,omusomo niwo mukuru,EDUCATION
children should go to school,abaana bagenda omu isomero,EDUCATION
