english,lunyoro
I alone,nyenka
only I,nyenka
all of I,nyeena
all I,nyeena
I myself,nyeenyini
you (sg) alone,wenka
only you (sg),wenka
all of you (sg),weena
all you (sg),weena
you (sg) yourself,weenyini
he/she alone,wenka
only he/she,wenka
all of he/she,weena
all he/she,weena
he/she himself,weenyini
we alone,twendeka
only we,twendeka
all of we,tweena
all we,tweena
we ourselves,tweenyini
both of we,twembi
you (pl) alone,mwenka
only you (pl),mwenka
all of you (pl),mweena
all you (pl),mweena
you (pl) yourselves,mweenyini
both of you (pl),mwembi
they alone,bonka
only they,bonka
all of they,boona
all they,boona
they themselves,boonyini
both of they,bombi
this person/cl.1 (near),onu
this one here (cl.1),onu
this people/cl.2 (near),banu
this one here (cl.2),banu
this tree/cl.3 (near),gunu
this one here (cl.3),gunu
this trees/cl.4 (near),enu
this one here (cl.4),enu
this fruit/cl.5 (near),linu
this one here (cl.5),linu
this fruits/cl.6 (near),ganu
this one here (cl.6),ganu
this thing/cl.7 (near),kinu
this one here (cl.7),kinu
this things/cl.8 (near),binu
this one here (cl.8),binu
this animal/cl.9 (near),enu
this one here (cl.9),enu
this animals/cl.10 (near),zinu
this one here (cl.10),zinu
this rope/cl.11 (near),runu
this one here (cl.11),runu
this small thing/cl.12 (near),kanu
this one here (cl.12),kanu
this small things/cl.13 (near),tunu
this one here (cl.13),tunu
this abstract/cl.14 (near),bunu
this one here (cl.14),bunu
this infinitive/cl.15 (near),kunu
this one here (cl.15),kunu
that person/cl.1 (far),oli
that one over there (cl.1),oli
that people/cl.2 (far),bali
that one over there (cl.2),bali
that tree/cl.3 (far),guli
that one over there (cl.3),guli
that trees/cl.4 (far),eri
that one over there (cl.4),eri
that fruit/cl.5 (far),liri
that one over there (cl.5),liri
that fruits/cl.6 (far),gali
that one over there (cl.6),gali
that thing/cl.7 (far),kiri
that one over there (cl.7),kiri
that things/cl.8 (far),biri
that one over there (cl.8),biri
that animal/cl.9 (far),eri
that one over there (cl.9),eri
that animals/cl.10 (far),ziri
that one over there (cl.10),ziri
that rope/cl.11 (far),ruli
that one over there (cl.11),ruli
that small thing/cl.12 (far),kali
that one over there (cl.12),kali
that small things/cl.13 (far),tuli
that one over there (cl.13),tuli
that abstract/cl.14 (far),buli
that one over there (cl.14),buli
that infinitive/cl.15 (far),kuli
that one over there (cl.15),kuli
that person/cl.1 (already mentioned),ogu
that people/cl.2 (already mentioned),abo
that tree/cl.3 (already mentioned),ogu
that trees/cl.4 (already mentioned),egi
that fruit/cl.5 (already mentioned),eri
that fruits/cl.6 (already mentioned),ago
that thing/cl.7 (already mentioned),eki
that things/cl.8 (already mentioned),egi
that animal/cl.9 (already mentioned),egi
that animals/cl.10 (already mentioned),ezi
that rope/cl.11 (already mentioned),oru
that small thing/cl.12 (already mentioned),ako
that small things/cl.13 (already mentioned),otu
that abstract/cl.14 (already mentioned),obu
that infinitive/cl.15 (already mentioned),oku
Good morning / How have you slept?,Oraire ota?
Oraire ota?,Good morning / How have you slept?
How are you?,Oroho ota?
Oroho ota?,How are you?
I am fine!,Ndooho nti!
Ndooho nti!,I am fine!
How do women dig?,Abakazi balima bata?
Abakazi balima bata?,How do women dig?
They dig like this,Balima bati:
Balima bati:,They dig like this
How do cows moo?,Ente zijuga zita?
Ente zijuga zita?,How do cows moo?
They moo like this,Zijuga ziti:
Zijuga ziti:,They moo like this
Good morning,Oraire ota?
How did you sleep?,Oraire ota?
They dig like this,Balima bati
They moo like this,Zijuga ziti
here I am/is/are,daranyowe
there I is,daranyowe
here you (sg) am/is/are,daraiwe
there you (sg) is,daraiwe
here he/she am/is/are,darawe
there he/she is,darawe
here we am/is/are,daraitwe
there we is,daraitwe
here you (pl) am/is/are,darainywe
there you (pl) is,darainywe
here they am/is/are,darabo
there they is,darabo
here is the tree/cl.3,daragwo
there it is (cl.3),daragwo
here is the trees/cl.4,darayo
there it is (cl.4),darayo
here is the fruit/cl.5,daralyo
there it is (cl.5),daralyo
here is the fruits/cl.6,darago
there it is (cl.6),darago
here is the thing/cl.7,darakyo
there it is (cl.7),darakyo
here is the things/cl.8,darabyo
there it is (cl.8),darabyo
here is the animal/cl.9,darayo
there it is (cl.9),darayo
here is the animals/cl.10,darazo
there it is (cl.10),darazo
here is the rope/cl.11,dararwo
there it is (cl.11),dararwo
here is the small thing/cl.12,darako
there it is (cl.12),darako
here is the small things/cl.13,daratwo
there it is (cl.13),daratwo
here is the abstract/cl.14,darabwo
there it is (cl.14),darabwo
here is the infinitive/cl.15,darakwo
there it is (cl.15),darakwo
I am,niinyowe
you are,niiwe
he/she is,nuwe
we are,niitwe
you (pl) are,niinywe
they are,nubo
it is this person/cl.1 (near),ngunu
it is this people/cl.2 (near),mbanu
it is this tree/cl.3 (near),ngunu
it is this trees/cl.4 (near),nginu
it is this fruit/cl.5 (near),ndinu
it is this fruits/cl.6 (near),nganu
it is this thing/cl.7 (near),nkinu
it is this things/cl.8 (near),mbinu
it is this animal/cl.9 (near),nginu
it is this animals/cl.10 (near),nzinu
it is this rope/cl.11 (near),ndunu
it is this small thing/cl.12 (near),nkanu
it is this small things/cl.13 (near),ntunu
it is this abstract/cl.14 (near),mbunu
it is this infinitive/cl.15 (near),nkunu
it is that person/cl.1 (far),nguli
it is that people/cl.2 (far),mbali
it is that tree/cl.3 (far),nguli
it is that trees/cl.4 (far),ngiri
it is that fruit/cl.5 (far),ndiri
it is that fruits/cl.6 (far),ngali
it is that thing/cl.7 (far),nkiri
it is that things/cl.8 (far),mbiri
it is that animal/cl.9 (far),ngiri
it is that animals/cl.10 (far),nziri
it is that rope/cl.11 (far),nduli
it is that small thing/cl.12 (far),nkali
it is that small things/cl.13 (far),ntuli
it is that abstract/cl.14 (far),mbuli
it is that infinitive/cl.15 (far),nkuli
it is a person,n'omuntu
it is a cow,n'ente
it is a child,n'omwana
it is water,n'amazzi
it is food,n'ebyokurya
it is a house,n'enju
it is a book,n'ekitabo
it is a tree,n'omuti
it is a dog,n'embwa
it is a cat,n'ekipaka
who are you?,niiwe oha?
who is he?,nuwe oha?
who are they?,nubo oha?
the very person,ka muntu
a really good one,ka murungi
it is really you,ka niiwe
it is really my relative,ka wange
here he/she truly is,ka ngunu
let us go,ka tugende
let me go,ka ngende
let him/her go,ka agende
let them go,ka bagende
let I go,ka ngende
let we go,ka tugende
let he/she go,ka agende
let they go,ka bagende
let I eat,ka nrye
let we eat,ka turye
let he/she eat,ka arye
let they eat,ka barye
let I drink,ka nnywe
let we drink,ka tunywe
let he/she drink,ka anywe
let they drink,ka banywe
let I eat,ka nlye
let we eat,ka tulye
let he/she eat,ka alye
let they eat,ka balye
let I read,ka nsome
let we read,ka tusome
let he/she read,ka asome
let they read,ka basome
let I dance,ka nzine
let we dance,ka tuzine
let he/she dance,ka azine
let they dance,ka bazine
let I ask,ka nbaze
let we ask,ka tubaze
let he/she ask,ka abaze
let they ask,ka babaze
let I look,ka nrore
let we look,ka turore
let he/she look,ka arore
let they look,ka barore
let I speak,ka ngambe
let we speak,ka tugambe
let he/she speak,ka agambe
let they speak,ka bagambe
my father,isange
your father,isaawe
his/her father,ise
our father,isiitwe
your (pl) father,isiinywe
their father,isabo
my mother,nyinange
your mother,nyinawe
his/her mother,nyina
our mother,nyinenitu
your (pl) mother,nyineninywe
their mother,nyinabo
my grandfather,isenkurwange
your grandfather,isenkurwawe
his/her grandfather,isenkuru
our grandfather,isenkurwitwe
your (pl) grandfather,isenkurwinywe
their grandfather,isenkurwabo
my grandmother,nyinenkurwange
your grandmother,nyinenkurwawe
his/her grandmother,nyinenkuru
our grandmother,nyinenkurwitwe
your (pl) grandmother,nyinenkurwinywe
their grandmother,nyinenkurwabo
his/her paternal aunt,isenkati
his/her maternal aunt,nyinento
his/her maternal uncle,nyinarumi
his/her paternal uncle,isento
his/her father-in-law,isezaara
his/her mother-in-law,nyinazaara
his/her husband,iba
My father went to the market.,Isange yagenda omu isoko.
Your mother is cooking.,Nyinawe ateteka.
His father is a teacher.,Ise ye omwigisha.
Our grandfather is old.,Isenkurwitwe amaze emyaka.
Her mother called her.,Nyina yamwita.
Their father is coming.,Isabo ajayo.
My grandfather told me a story.,Isenkurwange yangambira engero.
Your grandmother is wise.,Nyinenkurwawe ni omukugu.
one who does lima,omulimi
the act of lima,omulimo
method of lima,endima
one who does zaana,omuzaani
the act of zaana,omuzaano
method of zaana,enzaana
one who does bara,omubazi
the act of bara,omubaro
method of bara,embara
one who does hiija,omuhiizi
the act of hiija,omuhiijo
one who digs,omulimi
the work of diging,omulimo
method of diging,enlima
one who gos,omugendi
the work of going,omugendo
method of going,engenda
one who reads,omusomi
the work of reading,omusomo
method of reading,ensoma
one who speaks,omugambi
the work of speaking,omugambo
method of speaking,engamba
one who dances,omuzini
the work of danceing,omuzino
method of danceing,enzina
one who eats,omuryi
the work of eating,omuryo
method of eating,enrya
one who asks,omubazi
the work of asking,omubazo
method of asking,embaza
one who sees,omurozi
the work of seeing,omuroro
method of seeing,enrora
one who speaks,omuogezi
the work of speaking,omuogero
method of speaking,enogera
one who works,omukozi
the work of working,omukoro
method of working,enkora
one who learns,omuigi
the work of learning,omuigo
method of learning,eniga
one who builds,omubaki
the work of building,omubako
method of building,embaka
one who pants,omuhiizi
the work of panting,omuhiijo
method of panting,enhiija
one who counts,omubazi
the work of counting,omubaro
method of counting,embara
one who plays,omuzaani
the work of playing,omuzaano
method of playing,enzaana
one half,kimu kya kabiri
a half,kimu kya kabiri
one third,kimu kya kasatu
a third,kimu kya kasatu
one quarter,kimu kya kana
a quarter,kimu kya kana
two thirds,bibiri bya kasatu
three quarters,bisatu bya kana
one fifth,kimu kya kataano
two fifths,bibiri bya kataano
two by two,babiri babiri
in twos,babiri babiri
