english,lunyoro,domain
wake up,okuzuka,GENERAL
I wake up early every morning,nzuka kare buli mugamba,GENERAL
sleep,okuryama,GENERAL
I sleep at ten o'clock,nryama omu saawa ikumi,GENERAL
eat,okulya,GENERAL
we eat together as a family,tulya hamwe nk'omukago,GENERAL
drink,okununwa,GENERAL
drink water every day,nwa amaizi buli izooba,GENERAL
cook,okuteeka,GENERAL
my mother cooks every evening,nyina nkateeka buli mukaaga,GENERAL
wash,okwoza,GENERAL
wash your hands before eating,oza emikono embere y'okulya,GENERAL
bathe,okwoza omubiri,GENERAL
bathe every morning,oza omubiri buli mugamba,GENERAL
dress,okwambara,GENERAL
dress well before going to school,ambara kurungi embere y'okugenda isomero,GENERAL
pray,okusaba,GENERAL
we pray before eating,tusaba embere y'okulya,GENERAL
work,okukoora,GENERAL
my father works in town,ishe nkakoora omu tauni,GENERAL
rest,okupumula,GENERAL
rest after work,pumula hanyuma y'omulimu,GENERAL
play,okutamba,GENERAL
children play after school,abaana batamba hanyuma y'isomero,GENERAL
sing,okuyimba,GENERAL
we sing in church,tuyimba omu kanisa,GENERAL
dance,okuzina,GENERAL
we dance at celebrations,tuzina omu mirembe,GENERAL
laugh,okuseka,GENERAL
cry,okurira,GENERAL
the baby is crying,omwana arira,GENERAL
talk,okugamba,GENERAL
listen,okuwurira,GENERAL
listen to your parents,wuliira abazaazi bawe,GENERAL
walk,okugenda,GENERAL
run,okuruka,GENERAL
sit,okukara,GENERAL
sit down please,kara hasi,GENERAL
stand,okwema,GENERAL
stand up,ema,GENERAL
come,okuja,GENERAL
come here,ija hano,GENERAL
go,okugenda,GENERAL
go away,genda,GENERAL
bring,okuleeta,GENERAL
bring water,leeta amaizi,GENERAL
take,okutwarira,GENERAL
take this book,twarira ekitabu kino,GENERAL
give,okuha,GENERAL
give me food,mpaho ekyokurya,GENERAL
buy,okugura,GENERAL
sell,okugurisa,GENERAL
pay,okusasula,GENERAL
pay the bill,sasula omuwendo,GENERAL
borrow,okweyaza,GENERAL
lend,okuha,GENERAL
help,okuyamba,GENERAL
help me please,nyamba,GENERAL
thank you,weebale,GENERAL
you are welcome,kale,GENERAL
sorry,mbabarira,GENERAL
please,nsaba,GENERAL
yes,ego,GENERAL
no,nedda,GENERAL
maybe,omunda,GENERAL
I do not know,simanyi,GENERAL
I understand,ntegera,GENERAL
I do not understand,sitegera,GENERAL
what is your name,erinnya lyawe ni eryaani,GENERAL
my name is,erinnya ryange ni,GENERAL
how are you,oraire otya,GENERAL
I am fine,ndi kurungi,GENERAL
where do you live,ukara haihi,GENERAL
I live in Hoima,nkara omu Hoima,GENERAL
how old are you,ufite emyaka emingahi,GENERAL
I am twenty years old,nina emyaka makumi abiri,GENERAL
are you married,wabaire,GENERAL
I am married,ndi omuzaara,GENERAL
I am not married,sindi omuzaara,GENERAL
how many children do you have,ufite abaana bangahi,GENERAL
I have three children,nina abaana basatu,GENERAL
brother,muganda,GENERAL
sister,mwisiki,GENERAL
father,ishe,GENERAL
mother,nyina,GENERAL
grandfather,jjajja,GENERAL
grandmother,jjajja omukazi,GENERAL
uncle,taata omuto,GENERAL
aunt,maama omuto,GENERAL
cousin,mwihwa,GENERAL
friend,mugenzi,GENERAL
neighbour,omukiraanwa,GENERAL
husband,omusaija,GENERAL
wife,omukazi,GENERAL
son,mutabani,GENERAL
daughter,mwisiki,GENERAL
baby,omwana omuto,GENERAL
child,omwana,GENERAL
adult,omukuru,GENERAL
old man,omusajja omukuru,GENERAL
old woman,omukazi omukuru,GENERAL
young man,omusajja omuto,GENERAL
young woman,omukazi omuto,GENERAL
