english,lunyoro
[LOCATIVE] in the world,omunsi
[LOCATIVE] in heaven,omwiguru
[LOCATIVE] in the sky,omwiguru
[LOCATIVE] in the forest,omukibira
[LOCATIVE] inside / in the stomach,omunda
[LOCATIVE] in front,omumaiso
[LOCATIVE] in the house,omunju
[LOCATIVE] in the water,omumaizi
[LOCATIVE] in the garden,omusiri
[LOCATIVE] in the room,omukyumba
[LOCATIVE] in the church,omukanisa
[LOCATIVE] in the school,omushomero
[LOCATIVE] in the hospital,omusaala
[LOCATIVE] in the market,omubaaza
[LOCATIVE] in the village,omukiika
[LOCATIVE] on the table,hameeza
[LOCATIVE] on the ground,hansi
[LOCATIVE] below / underneath,hansi
[LOCATIVE] above / up high,haiguru
[LOCATIVE] to the side,harubaju
[LOCATIVE] on the house,hanju
[LOCATIVE] at the door,hamuryango
[LOCATIVE] at the river,hakaraba
[LOCATIVE] at the road,hamusebo
[LOCATIVE] at the school,hamushomero
[LOCATIVE] at the market,habaaza
[LOCATIVE] at the hospital,hamusaala
[LOCATIVE] at our home,owaitu
[LOCATIVE] at your home,owaanyu
[LOCATIVE] at their home,owaabu
[LOCATIVE] at his/her home,owe
[LOCATIVE] at my home,owange
[LOCATIVE] at your (sg) home,owaawe
[LOCATIVE] this way / this side,kunu
[LOCATIVE] that way / that side,kuli
[LOCATIVE] to the left,ku rubaju rwa kumosi
[LOCATIVE] to the right,ku rubaju rwa kuguru
[LOCATIVE] The book is on the table,Ekitabu kiri hameeza
[LOCATIVE] The child is in the house,Omwana ali omunju
[LOCATIVE] The water is in the river,Amaizi gari omukaraba
[LOCATIVE] We are going to our home,Turagenda owaitu
[LOCATIVE] She slept at their home,Yaraireyo owaabu
[LOCATIVE] The food is on the ground,Ebikulyo biri hansi
[LOCATIVE] God is in heaven,Ruhanga ali omwiguru
[LOCATIVE] The cow is in the forest,Ente iri omukibira
[LOCATIVE] He is standing at the door,Ayemerereho hamuryango
[LOCATIVE] The children are at school,Abaana bari hamushomero
[LOCATIVE] I am going to your home,Ndigenda owaawe
[LOCATIVE] They came from the market,Baaza omubaaza
[LOCATIVE] She is sitting on the ground,Yaikara hansi
[LOCATIVE] The bird is up high,Ekuni kiri haiguru
[LOCATIVE] We met at the hospital,Twahurira hamusaala
[LOCATIVE_DEM] in here,munu
[LOCATIVE_DEM] in there,muli
[LOCATIVE_DEM] here,hanu
[LOCATIVE_DEM] there,hali
[LOCATIVE_DEM] this way,kunu
[LOCATIVE_DEM] that way,kuli
[LOCATIVE_DEM] come here,ija hanu
[LOCATIVE_DEM] go there,genda hali
[LOCATIVE_DEM] it is in here,nimunu
[LOCATIVE_DEM] it is in there,nimuli
[LOCATIVE_DEM] it is here,nihanu
[LOCATIVE_DEM] it is there,nihali
[LOCATIVE_DEM] it is this way,nukunu
