english,lunyoro
The woman dug the garden.,omukazi agulimaire omusiri.
The woman dug the garden (object fronted).,omusiri omukazi agulimire.
The garden the woman dug.,omukazi agulimaire omusiri.
The garden the woman dug (object fronted).,omusiri omukazi agulimire.
The herdsmen drank the milk.,abahuma aganywaire amata.
The herdsmen drank the milk (object fronted).,amata abahuma baganywire.
The children brought the books.,abaana abireetaire ebitabu.
The children brought the books (object fronted).,ebitabu abaana babireetire.
The child herded the cow.,omwana ayilindaire ente.
The child herded the cow (object fronted).,ente omwana ayilindire.
The farmer cut the rope.,omulimi arutemaire omuguwa.
The farmer cut the rope (object fronted).,omuguwa omulimi arutemire.
The woman saw the child.,omukazi amurebaire omwana.
The woman saw the child (object fronted).,omwana omukazi amurebire.
The people saw the dog.,abantu ayibonaire embwa.
The people saw the dog (object fronted).,embwa abantu bayibonire.
The child read the book.,omwana akisomaire ekitabu.
The child read the book (object fronted).,ekitabu omwana akisomire.
The woman bought the bananas.,omukazi abigulaire ebitooke.
The woman bought the bananas (object fronted).,ebitooke omukazi abigulire.
The woman has dug the garden.,Omusiri omukazi agulimire.
The woman has dug the garden.,Omukazi omusiri agulimire.
The herdsmen have drunk the milk.,Amata gabahuma baganywire.
The herdsmen have drunk the milk.,Abahuma amata baganywire.
The children have brought the books.,Ebitabu abaana babireesire.
The children have brought the books.,Abaana ebitabu babireesire.
The child has bought his father a long tunic.,Omwana aguliire ise ekanzu.
The tunic the child bought for his father.,Ekanzu omwana agiguliire ise.
The tunic the father the child bought for him.,Ekanzu ise omwana agimuguliire.
The dog bit the child.,Omwana embwa yamukumira.
The child the dog bit.,Omwana embwa yamukumira.
The farmer cut the banana tree.,Omulimi atema omuti gw'ebitooke.
The teacher taught the children.,Omwigisha yigisha abaana.
The children the teacher taught.,Abaana omwigisha yabigishira.
Abbooki,Abbooki (empaako name)
Abwoli,Abwoli (empaako name)
Acaali,Acaali (empaako name)
Akiiki,Akiiki (empaako name)
Amooti,Amooti (empaako name)
Adyeri,Adyeri (empaako name)
Apuuli,Apuuli (empaako name)
Araali,Araali (empaako name)
Ateenyi,Ateenyi (empaako name)
Atwoki,Atwoki (empaako name)
Bbala,Bbala (empaako name)
my grandmother,mukaaka
the chief,marumi
the elder,rubuga
Mr. Elephant,warujojo
Mr. Rabbit,wakame
Mr. Dog,wambwa
Mr. Hen,wankoko
Abbooki came.,Abbooki yajayo.
Abbooki is my friend.,Abbooki ni mukwangu.
Akiiki went to school.,Akiiki yagenda isomero.
Amooti is a good person.,Amooti ni muntu murungi.
Mr. Elephant is big.,Warujojo munene.
Mr. Rabbit is clever.,Wakame mwangu.
the Abbookis (plural),BaAbbooki
all the Abbookis,BaAbbooki boona
the Akiikis (plural),BaAkiiki
all the Akiikis,BaAkiiki boona
the Amootis (plural),BaAmooti
all the Amootis,BaAmooti boona
the Adyeris (plural),BaAdyeri
all the Adyeris,BaAdyeri boona
the mukaakas (plural),Baamukaaka
all the mukaakas,Baamukaaka boona
the warujojos (plural),Baawarujojo
all the warujojos,Baawarujojo boona
the wakames (plural),Baawakame
all the wakames,Baawakame boona
The Abbooki people came.,Baabbooki bajayo.
All the grandmothers are wise.,Baamukaaka boona bakugu.
The Mr. Elephants are big.,Boowarujojo banene.
The Mr. Rabbits are clever.,Boowakame bwangu.
office,ofiisi
the office,ofiisi
motor car,motoka
the motor car,motoka
bus,bbaasi
the bus,bbaasi
camera,kamera
the camera,kamera
calendar,kalenda
the calendar,kalenda
government,gavumenti
the government,gavumenti
cents/money,sente
the cents/money,sente
motorcycle,pikipiki
the motorcycle,pikipiki
green (like grass),kinyansi
the green (like grass),kinyansi
green (like ejabwa plant),kijubwa
the green (like ejabwa plant),kijubwa
green (like plantain leaf),rubabi
the green (like plantain leaf),rubabi
brown (like soil),kitaka
the brown (like soil),kitaka
light brown (like termite hill),kataiki
the light brown (like termite hill),kataiki
yellow (like ripe banana),kyenju
the yellow (like ripe banana),kyenju
purple (like ehuukya berries),kihuukya
the purple (like ehuukya berries),kihuukya
red/reddish brown (like reddish cow),kigaaja
the red/reddish brown (like reddish cow),kigaaja
white (like white cow/hen),kyeru
the white (like white cow/hen),kyeru
dark brown (like dark brown cow),kisiina
the dark brown (like dark brown cow),kisiina
grey (like greyish cow),kibuubi
the grey (like greyish cow),kibuubi
black (like black cow/hen),kikara
the black (like black cow/hen),kikara
dark blue,kaneke
the dark blue,kaneke
blue,bbururu
the blue,bbururu
purple (baboon-derived),kakobe
the purple (baboon-derived),kakobe
Kaseese (town),Kaseese
the Kaseese (town),Kaseese
Kabarole (town),Kabarole
the Kabarole (town),Kabarole
Kilembe (town),Kilembe
the Kilembe (town),Kilembe
Buganda (kingdom),Buganda
the Buganda (kingdom),Buganda
Tooro (kingdom),Tooro
the Tooro (kingdom),Tooro
Bunyoro (kingdom),Bunyoro
the Bunyoro (kingdom),Bunyoro
many offices,zaaofiisi
many motor cars,zaamotoka
many buss,zaabbaasi
many cameras,zaakamera
many calendars,zaakalenda
many governments,zaagavumenti
many cents/moneys,zaasente
many motorcycles,zaapikipiki
many green (like grass)s,zaakinyansi
many green (like ejabwa plant)s,zaakijubwa
many green (like plantain leaf)s,zaarubabi
many brown (like soil)s,zaakitaka
many light brown (like termite hill)s,zaakataiki
many yellow (like ripe banana)s,zaakyenju
many purple (like ehuukya berries)s,zaakihuukya
The office is near the market.,Ofiisi eri haihi n'isoko.
The motor car is fast.,Motoka yanguha.
The bus has arrived.,Bbaasi ejayo.
The government built schools.,Gavumenti yabaka amasomero.
I have no money.,Sente nzina.
The motorcycle is loud.,Pikipiki iguma.
Kaseese is near Kilembe.,Kaseese eri haihi na Kilembe.
