english,runyoro
I will go to school tomorrow,nzagenda omu ssomero enkyo
I will eat food,nzalya ebyokulya
I will drink water,nzanywa amaazi
I will come back,nzagaruka
I will sleep,nzasinzira
I will work hard,nzakora n'amaani
I will buy food at the market,nzagura ebyokulya omu isoko
I will give you money,nzakuha sente
I will tell you,nzakugamba
I will visit you tomorrow,nzakutembeera enkyo
He will go to school,azagenda omu ssomero
She will come tomorrow,azaija enkyo
They will eat food,bazalya ebyokulya
We will go to the market,tuzagenda omu isoko
You will drink water,ozanywa amaazi
The child will sleep,omwana azasinzira
The children will study,abaana bazasoma
My father will come,isange azaija
The teacher will teach,omwigiriza azagira
We will cook food,tuzateka ebyokulya
He went to the market yesterday,akagenda omu isoko ejo
She came yesterday,akaija ejo
They went to school,bakagenda omu ssomero
We went to the river,tukagenda omu rwizi
I went home,nakagenda eka
The child went to the market,omwana akagenda omu isoko
My mother went to church,nyoko akagenda omu kanisa
The teacher went to school,omwigiriza akagenda omu ssomero
They cooked food yesterday,bakategera ebyokulya ejo
We came back yesterday,tukagaruka ejo
He had gone to the market,akagenda omu isoko kare
She had eaten food,akalyiire ebyokulya
They had slept,bakasinzire
I had worked,nakorire
We had drunk water,tunywire amaazi
He eats food,aliira ebyokulya
She eats food,aliira ebyokulya
They eat food,baliira ebyokulya
We eat food,tuliira ebyokulya
I eat food,naliira ebyokulya
The child eats food,omwana aliira ebyokulya
The children eat food,abaana baliira ebyokulya
My mother cooks food,nyoko ateka ebyokulya
The woman sells food at the market,omukyara agurisha ebyokulya omu isoko
People eat food every day,abantu baliira ebyokulya buri kiro
We eat food together,tuliira ebyokulya hamwe
The food is ready,ebyokulya birungire
Bring me food,nzera ebyokulya
Give the child food,hera omwana ebyokulya
They are cooking food,bateka ebyokulya
There is food in the house,hari ebyokulya omu nju
I ate food,nalyiire ebyokulya
She ate food yesterday,alyiire ebyokulya ejo
They ate food,balyiire ebyokulya
We ate food together,tulyiire ebyokulya hamwe
The child ate food,omwana alyiire ebyokulya
He did not eat food,talyiire ebyokulya
