english,lunyoro
The child is eating food,Omwana arya ebyokurya
the cat is running,enjangu neiruka
the cat is running,enjangu niiruka
the girl is running,omwasiki nairuka
the cat has died,enjangu efiire
the girl is going to the market to buy fish for a mad person,omwasiki nagenda mukatale kugura encu habw 'omuntu agwire iraro
animals are kept,ebisoro nibabilinda
animals and people,ebisoro n'abantu
people and animals,abantu n'ebisoro
the girl has run mad,omwasiki agwire iraro
test,obuteekateeka
where is my girl,omwasiki wange ali nkaha
the man has ran wild,omusaija agwire obwooki
The car was moving so fast that it was hard for driver to control,Emetooka ekaba nayanguha kukira bwango eki kibaire kigumire hali omubimbi
Look at him he is not ok,Murole tali kurungi
How is life,Obwomezi buta
Where are you leaving these days,Ogenda nkaha ebiro binu
Where are you living these days,Oikaire nkaha ebiro binu
The boy is running,Omwajo nairuka
What is agriculture in Rutooro,ebyebulimi omu Rutooro
animals,ebisoro
Where are you going?,Ogenda nkaha?
the goat is very big,embuzi enkazi
the cat is big,enJangu ikoto
the goat is big,embuzi enkazi
how are you doing,oraire otya
with a cow,n'ente
where are you going?,Ogenda nkaha?
