source_text,translation,direction,rating,correction,error_type,model_used,refined,domain,score_mng,score_grm,score_tns,score_vcb,score_ort,score_ctx,score_flu,score_cul,sqs,timestamp,ip
The child is eating food,Omwana arya ebyokurya,en->lun,1,,,nllb,False,everyday_conversation,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,79.0,2026-05-22T12:13:59.426802,
the cat is running,enjangu neiruka,en→lun,-1,,spelling,,,,,,,,,,,,,2026-05-07T08:10:18.413670,127.0.0.1
the cat is running,enjangu neiruka,en→lun,-1,enjango neiruka,both_models_wrong,none,,,,,,,,,,,,2026-05-07T08:11:00.881233,127.0.0.1
the cat is running,enjangu neiruka,en→lun,1,,,,,,,,,,,,,,,2026-05-07T14:54:43.219747,127.0.0.1
the cat is running,enjangu niiruka,en→lun,1,,,nllb,,,,,,,,,,,,2026-05-07T14:54:48.221378,127.0.0.1
the girl is running,omwasiki narubatana,en→lun,-1,,different meaning,,,,,,,,,,,,,2026-05-07T18:23:35.466563,127.0.0.1
the girl is running,omwasiki nairuka,en→lun,1,,different meaning,nllb,,,,,,,,,,,,2026-05-07T18:23:43.698353,127.0.0.1
the cat has died,enjangu efiire,en→lun,1,,,,,,,,,,,,,,,2026-05-07T18:29:57.805359,127.0.0.1
the cat has died,enjangu efiire,en→lun,1,,both_models_correct,both,,,,,,,,,,,,2026-05-07T18:30:06.693799,127.0.0.1
the girl is going to the market to buy fish for a mad person,omwasiki nagenda mukatale kugura ensumaki habw 'omuntu musawe,en→lun,-1,,context,,,,,,,,,,,,,2026-05-08T14:29:24.149560,127.0.0.1
the girl is going to the market to buy fish for a mad person,omwasiki nagenda mukatale kugura encu habw 'omuntu agwire iraro,en→lun,1,,context,nllb,,,,,,,,,,,,2026-05-08T14:29:31.428189,127.0.0.1
animals are kept,enyamaiswa bazitundwa,en->lun,-1,,different meaning,,,,,,,,,,,,,2026-05-09T08:25:43.539258,127.0.0.1
animals are kept,ebisoro nibabilinda,en->lun,1,,different meaning,nllb,,,,,,,,,,,,2026-05-09T08:25:53.132714,127.0.0.1
animals and people,enyamaiswa n'abantu,en->lun,-1,,different meaning,,,,,,,,,,,,,2026-05-11T16:06:14.174903,127.0.0.1
