english,lunyoro
"Jesus said to them, ""It is not for you to know when the time will come when the Father will put an end to all things",Yabagambira ati Tikuli kwanyu okumanya obusumi nobubyakuba ebiro Isitwe ebiyataire omu busobozibwe wenka
Your hands have made me clean and teach me your decrees,Engaro zawe nizo zankozire nizo zambumbire Ompe amagezi nyege ebiragiro byawe
She lives near the shop,Aikara kuli haihi nekisaru
And he left them and went out of the city to Bethany where he spent the night,Yabagira yaturuka omu rubuga yagenda besaniya yarara oku
he cooperates with everyone,akoragana na buli muntu
"become exhausted, weary",to become exhausted
"His parents said this because they were afraid of the Jews. But the Jewish authorities had already agreed that if anyone said that he was the Messiah, he would be expelled from the synagogue",Abamuzaire nikyo bagambire ebi obwokutina Abayudaya: baitu Abayudaya bakaba bamazire kuhanura ngu Omuntu wena obwaramugambagambaga ati nuwe Kristo abingi bwege omu iso'rokaniro
"His life was in him, and his life was the light of humanity",Obwomezi bukaba buli omuruwe;obwomezi bukaba buli musana gwabantu
We watched aromatic comedy and grew agoose body,Tukarora ebisisani by'engonzi rusekesa isoke ryaturuga ha mutwe
I know that,Nkimanyire ekyo
Take good care of others and help them,"Otahe kurungi bambi, obandamukize"
suffering from malnutrition,abantu okubonabona habwebyokurya kubura
the thorns they put on his head as his crown were pressed hard down with sticks,amahwa baamutaire hamutwe nk'ekondo ye bakagaigasa emiigo 132 igatira ihaha nukwo gasobole kumukwaliraho
cows are the ones that are being driven out of the goats,enyana enkutu nizo ente zirugwamu ente ezigija
avarice,okwima
cause abortion (to oneselt),eyiihamu enda
Antivirals are on the scene of an earthquake,Omubazi buruho ha kimeeza ky'okuhererezaaho
"When we are prepared, we pray for it. We have become like the world's garbage heap, where everything is destroyed until this very day","obutuhangi'rwa twesengereza: tukafoka nkehunda eyensi, nebiragazibwaho bya byona nokuhikya hati"
"to undo/reverse jump, hop (like a frog)ing",okusodokura
"to undo/reverse a/ikugwamu puku, he/ she will visit you unexpectedlying",okupukuura
"He will wipe away all tears from their eyes. There will be no more death, no more grief or crying or pain. The old things have disappeared","kandi alisusura amaizi gona ha maiso gabu: kandi tihakiroho okufa; nobukwakuba oku'ra, nobkwakuba okusasa tibikiroho:ebyokubanza bihoireho"
"to undo/reverse eat by oneself, (greed)ing",okueriirura
"After the uproar had subsided, many Jews and Gentiles followed Paul and Barnabas, and they spoke and prayed for God's grace","Kandi abomu iso'rokaniro obubarugireyo, baingi hali Abayudaya nabahinduki abekengi bakuratira Pauro na Baranaba: nabo babagambira nibabesengereza okwekamba omu mbababazi za Ruhanga"
the airplane was going to take the woman away and we were late one night late,enyonyi eyali yokukutwara ekasazi bwamutwamalirra tumazire ekiro ekindi
"There is no one else who will be saved, but there is no one else on earth who has been given the name that is given to the people who will be saved","Kandi busaho omu ondi okujunwa, baitu busaho ibara lindi hansi yiguru eryabahairwe abantu erituhikirire okutujuna"
"They brought to Jesus wine mixed with myrrh, but he would not consent to drink it",Bamuletara amarwa agajwanganizibwemu omubazi: baitu uwe atagaikirize
"So the master said to the servant, 'Go out to the streets and lanes, and invite them in, so that my house will be filled.'","Mukama we yagambira omuiru rubale ati Turuka ogender omu makute nemitano, obahambirize okutahamu, enju yange ijule"
kuleereza,culeera
"to cause to hate, abhor",okunobisa
"to put in a difficult position, give an impossible task each other",okuteodcbekana
"To this very day we are hungry, thirsty, and thirsty; we are thirsty, but we are thirsty; we are thirsty, but we have no food","Na hati hona nturumwa enjara, ntukwatwa iroho, tuli kwonka, ntuterwa entomi, titunyina owaitu:"
"On the table of show bread they shall put on the outer garments and put on them the dishes, the bowls, the basins, the jars, and the bowls of the new bread",Kandi ha meza eyemigati eyokwoleka balitaho orugoye orwa buru kandi balitaho esahani nebigiko nebindi nebikopo ebyokuitura kandi emigati eyobutosa eribaho
climber,omutembi
to be alk unceasinglyed,okuhangaaribwa
you people do things in truth,nywe abantu mukole ebintu omumananu
"At once his own blood was poured out, and he knew in his body that he had been healed","Ahonaho ensoro yesagamaye yayoma, yamanya omu mubirigwe akizibwe"
to undo/reverse passing,okuogezura
"In your teaching show that you yourself do what is good, and that you do not sin","omubigambo byona noyeyoleka wenka nkekyokuro'raho ekyemirimo emirungi, omu kwegesa kwawe noyoleka okutago"
"A good man brings good out of his treasure of good things, but a bad man brings bad out of his bad treasure of bad things","Omuntu asemire, aiha ebisemire omu ryahu'rorye erisemire: omuntu omubi aiha ebibihire omu ryahu'rorye eribihire"
Teaching in Tooro and Bunyoro is not good at all,Enyegesa ya Tooro na Banyoro teri nungi nakake
"He has filled you with his grace and with his desire to hear you from him, through his faith in him, in all the nations","ayatuhaisize embabazi nobukwenda obwokuhu'ra okurukuruga omu kuikiriza, omuli Amahanga gona habwibararye:"
He was not suffering from postpartum bleeding,Akatalibanizibwa oburwaire bwokusarara hanyuma yokutanga kusarwaho esagama ohabwongo
These are the sons of Aaron Eleazar his son Phinehas his son Abishua his son,Kandi batabani ba Aroni mbanu mutabaniwe Eryeza mutabaniwe Finehasi mutabaniwe Abisuha
He presented a haiku about rivers,Ekitontome ky'nyabusatu
Antibiotics kill bacteria,Emibazi ita obuhuka
to undo/reverse answer when not caueding,okueyetebukyura
"You have followed our example and have been given the Lord's message in great trouble, with the joy of the Holy Spirit","Kandi mwakuratira omulingo gwaitu, kandi ogwa Mukama waitu, obumwahairwe ekigambo omu muhito mwingi, hamu nokusemererwa Okwomwoyo ogurukwera:"
to undo/reverse mix with others as one of theming,okuejwaogajwanganizura
Blessed are those who have been blessed for their righteousness but those who belong to the Kingdom of heaven,Banyina omugisa abahigwa obwokuhikira baitu abo obukama obwomu iguru bwabu
"to be quiet, modest, humble",culecra
word excited by anyone except looking at twin babies,word uttered by any person upon rooking at twin babies
The period when a cow is pregnant before it gives birth is called gestation,"Ente enkazi obweyema etwara, ekuza nukwo ezaara"
"tamucumbira kandi kunu ebyokulya nuwe abigura, she does not prepare meals for him although he is the one who buys food",kunu
"The people of Nineveh will stand up in judgment together with this world, and they will condemn you. They have turned away from the message that Jonah preached. And, look! there is something here greater than Jonah!","Abantu Abaninevi baryeme'ra omu musango hamu nobusinge bunu, balibusingisa omusango: baitu bakegarukamu obwokutebeza kwa Yona; kandi dora, arukukira Yona ali hanu"
"Receive him, then, with joy in the Lord, and give such help to those who are weak","Nukwo mumulize haihi omu Mukama waitu nokusemererwa kwingi, kandi abanyakusisa bati mubatinege:"
It was right in the presence of the Holy Spirit and of us that you should not put a spell on us or a spell upon us in order to make this clear to us,"Baitu kikaba kisemire omu maiso Gomwoyo Ogurukwera nomu maiso gaitu okutabatweka inywe enketo enkoto, rundi ebigambo binu ebituhikirire"
"For they were about five thousand men. Jesus said to his disciples, ""Make them sit down in groups of about fifty each.""",Baitu bakaba bali basaija nkenkumi itano. Yagambambira abegeswabe ati Mubaikalize hansi omu nka'ra ezamakumi atano
"But whoever is ashamed of me and of my words, the Son of Man will be ashamed of him when he comes in his own glory, and of his Father, and of the holy angels","Baitu wena anyakukwatwa ensoni habwange na habwebigambo byange, Nomwana womuntu alikwatwa ensoni habwogu, obwaliija omu kitinisakye wenka, nekya Ise, nekya bamaraika abarukwera"
