english,lunyoro
Good morning,oraire ota
Good morning!,oraire ota!
"Good morning, how are you?","oraire ota, oriire ota?"
Good morning everyone,oraire ota mwana
Good afternoon,wasiiba ota
Good afternoon everyone,wasiiba ota mwana
Good evening,osiibe ota
Good evening everyone,osiibe ota mwana
Good night,orare ota
"Good night, sleep well","orare ota, reeba neza"
Hello,habari
Hi,habari
Hello everyone,habari mwana
Hello friend,habari omukwate
Hello sir,habari mukama
Hello madam,habari mukazi
How are you?,oriire ota?
How are you doing?,oriire ota?
How are you today?,oriire ota leero?
How are you this morning?,oriire ota leero omu bwakya?
How are you this evening?,oriire ota leero omu muhingamo?
Are you okay?,oriire ota?
How is it going?,ebintu bigenda ota?
I am fine,ndi kurungi
"I am fine, thank you","ndi kurungi, webale"
I am doing well,ndi kurungi
"I am doing well, thank you","ndi kurungi, webale"
I am okay,ndi kurungi
I am not well,ndi bubi
We are fine,turi kurungi
We are doing well,turi kurungi
Welcome,karibu
Welcome here,karibu aha
You are welcome,karibu
You are welcome here,karibu aha
Welcome home,karibu omu ngo
Welcome everyone,karibu mwana
Thank you,webale
Thank you very much,webale muno
Thank you so much,webale muno nnyo
Thanks,webale
Many thanks,webale muno
Thank you for coming,webale okuza
Thank you for your help,webale obufasha bwawe
Please,ndaga
Please help me,ndaga onfashe
Sorry,mbabarira
I am sorry,nkusaba imbabazi
I am very sorry,nkusaba imbabazi muno
Excuse me,mbabarira
Pardon me,mbabarira
Forgive me,mbabarira
Goodbye,ogende neza
Goodbye everyone,mugende neza
See you later,ndaakurora
See you tomorrow,ndaakurora nyenkya
See you soon,ndaakurora mangu
Take care,ijuka
Take care of yourself,ijuka omubiri gwawe
Have a good day,oine ekiro kirungi
Have a good evening,oine muhingamo murungi
Have a good night,orare ota
Safe journey,genda neza
Travel safe,genda neza
How did you sleep?,oraire ota?
I slept well,nkabyama kurungi
Did you sleep well?,wabyama kurungi?
I did not sleep well,nkabyama bubi
How is your family?,nju yaawe erinkaha?
My family is fine,nju yange ndi kurungi
How are your children?,abaana baawe bariire ota?
The children are fine,abaana bari kurungi
How is your mother?,nyoko oriiire ota?
How is your father?,isoo oriire ota?
Greet your family,ramukirira nju yaawe
Greet your mother,ramukirira nyoko
Greet everyone,ramukirira bona
Nice to meet you,nashima okusakirwa nawe
It is nice to meet you,nashima okusakirwa nawe
What is your name?,wiitwa oota?
My name is,wiitwa
Where are you from?,ova ha?
I am from Uganda,nturuka uganda
I am going home,ningenda omu ngo
I am coming,nza
I am leaving,ningenda
Where are you going?,oregenda ha?
I am going to the market,ningenda omukatale
I am going to work,ningenda omu mulimu
I am going to church,ningenda omu kanisa
I am going to school,ningenda omu isomero
Come in,nzaho
Come here,za aha
Sit down,icara
Please sit,ndaga icara
What time is it?,isaa nizihe?
It is morning,ni bwakya
It is afternoon,ni niiro
It is evening,ni muhingamo
It is night,ni ekiro
Today,leero
Tomorrow,nyenkya
Yesterday,joro
