english,lunyoro,round_trip_bleu,source
Your grandmother is wise.,Nyinenkuru wawe aine amagezi,0.7788,back_translation
let we drink,tulekere tunywera,0.3467,back_translation
I am fine!,Ndi kurungi,0.3943,back_translation
that one over there (cl.11),one over there (cr. 11),0.8825,back_translation
that tree/cl.3 (already mentioned),omuti ogu/cr.3 (jaagika),0.2759,back_translation
She said to them:,Yabagambira ati,0.3976,back_translation
the person who is eating,omuntu arukurya,0.4631,back_translation
your grandmother,nyinenkuru,0.3679,back_translation
let they speak,baleka kugamba,0.2752,back_translation
it is this trees/cl.4 (near),zinu emiti/cr.4 (near),0.5813,back_translation
that one over there (cl.3),one over there (cr,0.4824,back_translation
the work of seeing,omulimo gwokurora,0.5946,back_translation
there you (sg) is,nuho (sg) oli,0.3247,back_translation
that one over there (cl.2),one over there (cr (2),0.4835,back_translation
our grandmother,nyinenkuru,0.3679,back_translation
method of building,nteeka,0.2752,back_translation
Let us all go together.,Leka tugende hamu,0.274,back_translation
he/she alone,uwe wenka,0.5946,back_translation
The very person I was looking for.,Nyowe nkaba ninse'ra,0.3679,back_translation
that one over there (cl.13),one over there (cr.13,0.4775,back_translation
they alone,bonka,0.3679,back_translation
here is the animal/cl.9,hanu ebisoro/cr.9,0.3564,back_translation
You are a student.,Oli musomi,0.7788,back_translation
that one over there (cl.6),one over there (cr,0.4824,back_translation
our mother,maama waitu,1.0,back_translation
who are you?,Oli waha?,0.5946,back_translation
that person/cl.1 (already mentioned),omuntu ogu/cr.,0.3508,back_translation
let we look,tuleke turole,0.2752,back_translation
my grandmother,nyinenkuru,0.3679,back_translation
Our grandmother is wise.,Nyinenkuru itwe aba wamagezi,0.2753,back_translation
that one over there (cl.12),one over there (cr.12),0.8825,back_translation
This thing is good.,Ekintu kinu kirungi,0.7788,back_translation
They are children.,Bali bato,0.3943,back_translation
the work of going,omulimo gw'okugenda,0.3943,back_translation
that one over there (cl.14),one over there (cr.14),0.8825,back_translation
here is the fruits/cl.6,hanu ebijuma/cr.6,0.5578,back_translation
their father,isebo,1.0,back_translation
All of you are welcome.,Baitu inywena muli kurungi,0.3021,back_translation
here is the animals/cl.10,hanu ebisoro/cr.10,0.5329,back_translation
His father is a teacher.,Ise aba musomesa,0.5475,back_translation
this things/cl.8 (near),bunu/cr.8 (near),0.6065,back_translation
