english,lunyoro,domain,notes
cassava,omugimbi,AGRICULTURE,root crop widely grown in Bunyoro
cassava flour,ubunga bw'omugimbi,AGRICULTURE,
cassava leaves,amababi g'omugimbi,AGRICULTURE,
we grow cassava in our garden,turiima omugimbi omu murima waitu,AGRICULTURE,
cassava is a staple food in Bunyoro,omugimbi niyo ekyokurya ekikuru omu Bunyoro,AGRICULTURE,
rice,omucele,AGRICULTURE,
we cook rice every day,tuteeka omucele buli izooba,AGRICULTURE,
rice grows in wetlands,omucele ukura omu bisaasiro,AGRICULTURE,
the price of rice has increased,omucele gwakwata omuwendo omukuru,AGRICULTURE,
yam,orukago,AGRICULTURE,
yams are harvested in the dry season,orukago ruzingurwa omu kiseera ky'enjuba,AGRICULTURE,
pumpkin,ekiboga,AGRICULTURE,
pumpkin leaves are edible,amababi g'ekiboga garya,AGRICULTURE,
we planted pumpkins near the fence,twariima ebiboga haihi n'ekisige,AGRICULTURE,
harvesting,okuzingura,AGRICULTURE,
we are harvesting maize today,tuzingura ebicooli leero,AGRICULTURE,
the harvest was good this year,okuzingura kwari kurungi omwaka guno,AGRICULTURE,
after harvesting we store the grain,hanyuma y'okuzingura tutereka ebikoola,AGRICULTURE,
harvest time is a time of joy,ekiseera ky'okuzingura nikyo kiseera ky'essanyu,AGRICULTURE,
irrigation,okutuura amaizi omu mirima,AGRICULTURE,
irrigation helps crops grow in dry season,okutuura amaizi omu mirima kuyamba ebimera kukura omu kiseera ky'enjuba,AGRICULTURE,
the farmers use irrigation to water their fields,abalimi bakozesa okutuura amaizi omu mirima yaabo,AGRICULTURE,
plowing,okurimira,AGRICULTURE,
we plow the field before planting,turimira omu murima embere y'okusimba,AGRICULTURE,
the tractor is used for plowing,etrakita ikozesibwa okurimira,AGRICULTURE,
sowing,okusiga embibo,AGRICULTURE,
we sow seeds at the beginning of the rainy season,tusiga embibo omu ntandika y'emvura,AGRICULTURE,
sowing is done after plowing,okusiga embibo kukora hanyuma y'okurimira,AGRICULTURE,
reaping,okusara,AGRICULTURE,
the farmers are reaping millet,abalimi basara oburo,AGRICULTURE,
reaping is done when the crop is mature,okusara kukora obu ekirimwa kikoye,AGRICULTURE,
threshing,okukubagura,AGRICULTURE,
we thresh millet to separate the grain,tukubagura oburo okutandukanya ebikoola,AGRICULTURE,
threshing is hard work,okukubagura nikwo mulimu omukali,AGRICULTURE,
pruning,okukema,AGRICULTURE,
we prune coffee trees to increase yield,tukema emiti y'ekawa okwongera ebikoola,AGRICULTURE,
pruning helps the plant grow better,okukema kuyamba ekimera kukura kurungi,AGRICULTURE,
weeding,okukuura,AGRICULTURE,
we weed the garden every week,tukuura omu murima buli sande,AGRICULTURE,
weeding removes unwanted plants,okukuura kukuura ebimera ebiteekwa,AGRICULTURE,
chicken,enkoko,AGRICULTURE,
we keep chickens at home,turiisa enkoko omuka,AGRICULTURE,
the chicken lays eggs every day,enkoko iteeka amagi buli izooba,AGRICULTURE,
chickens eat grain and insects,enkoko zirya ebikoola n'enswa,AGRICULTURE,
rabbit,ekinyonyi ky'omu nzu,AGRICULTURE,using common term
we raise rabbits for meat,turiisa ebinyonyi by'omu nzu enyama,AGRICULTURE,
rabbit meat is nutritious,enyama y'ekinyonyi ky'omu nzu niiha omubiri,AGRICULTURE,
milking,okukama,AGRICULTURE,
we milk the cows every morning,tukama ente buli mugamba,AGRICULTURE,
milking is done twice a day,okukama kukora emirundi ibiri omu izooba,AGRICULTURE,
fresh milk is good for children,amata amansha garungi eri abaana,AGRICULTURE,
compost,ebifu by'ebimera,AGRICULTURE,
compost improves soil fertility,ebifu by'ebimera biyongera obukwasi bw'enyika,AGRICULTURE,
we make compost from plant waste,tukora ebifu by'ebimera okuva omu bisaasiro by'ebimera,AGRICULTURE,
manure,obusa,AGRICULTURE,
cow manure is good fertilizer,obusa bw'ente niyo mboleo nziza,AGRICULTURE,
we spread manure on the garden,tutaabura obusa omu murima,AGRICULTURE,
manure improves soil quality,obusa buyongera obukwasi bw'enyika,AGRICULTURE,
rainfall,emvura,AGRICULTURE,
good rainfall is important for farming,emvura nziza niiha abalimi,AGRICULTURE,
the rainfall this season was poor,emvura y'ekiseera kino yali muke,AGRICULTURE,
crops need enough rainfall to grow,ebimera birikwetaaga emvura nyingi okukura,AGRICULTURE,
hoe,ekifuka,AGRICULTURE,
the hoe is the main farming tool,ekifuka nikyo kikoozebwa ekikuru omu bulimu,AGRICULTURE,
we use a hoe to dig the garden,tukozesa ekifuka okurimira omu murima,AGRICULTURE,
a sharp hoe makes work easier,ekifuka ekikali kikora mulimu omuhoho,AGRICULTURE,
machete,oruswi,AGRICULTURE,
we use a machete to clear the bush,tukozesa oruswi okukuura omu kibira,AGRICULTURE,
the machete is used to cut banana stems,oruswi rukozesibwa okusara emiti y'ebitooke,AGRICULTURE,
sickle,ekifuka ky'okusara,AGRICULTURE,
we use a sickle to harvest millet,tukozesa ekifuka ky'okusara okusara oburo,AGRICULTURE,
wheelbarrow,ekigari ky'omu murima,AGRICULTURE,
we use a wheelbarrow to carry soil,tukozesa ekigari ky'omu murima okutwarira enyika,AGRICULTURE,
the wheelbarrow carries heavy loads,ekigari ky'omu murima kitwarira ebitwaro ebizibu,AGRICULTURE,
export,okutunga ebintu omu mahanga,AGRICULTURE,
Uganda exports coffee to many countries,Uganda itunga ekawa omu mahanga maingi,AGRICULTURE,
coffee export brings money to farmers,okutunga ekawa omu mahanga kuleeta sente eri abalimi,AGRICULTURE,
cooperative,ekibiina ky'abalimi,AGRICULTURE,
farmers join cooperatives to sell together,abalimi bajwana omu bibiina okugurisa hamwe,AGRICULTURE,
the cooperative buys maize from farmers,ekibiina ky'abalimi kigura ebicooli okuva eri abalimi,AGRICULTURE,
millet,oburo,AGRICULTURE,
we grow millet in our fields,turiima oburo omu mirima yaitu,AGRICULTURE,
millet is used to make local beer,oburo bukozesibwa okukora omwenge,AGRICULTURE,
millet porridge is nutritious,obukima bw'oburo niiha omubiri,AGRICULTURE,
sorghum,omwenge w'oburo,AGRICULTURE,using common reference
sorghum is drought resistant,oburo bw'omusiri butarimuka omu kiseera ky'enjuba,AGRICULTURE,
coffee,ekawa,AGRICULTURE,
coffee is an important cash crop in Uganda,ekawa nikyo kirimwa ekikuru ky'ensimbi omu Uganda,AGRICULTURE,
we harvest coffee twice a year,tuzingura ekawa emirundi ibiri omu mwaka,AGRICULTURE,
coffee trees need pruning,emiti y'ekawa yetaaga okukema,AGRICULTURE,
groundnut,ekinyeebwa,AGRICULTURE,
groundnuts are rich in protein,ebinyeebwa biyina amaani maingi,AGRICULTURE,
we plant groundnuts after the rains,tusimba ebinyeebwa hanyuma y'emvura,AGRICULTURE,
