english,lunyoro
I am giving you a fresh commandment: love one another.,Kiragiro ekihyaka nimbaha ngu Mugonzanganege.
I am giving you a recent commandment: love one another.,Kiragiro ekihyaka nimbaha ngu Mugonzanganege.
he/she is giving you a new commandment: love one another.,Kiragiro ekihyaka nimbaha ngu Mugonzanganege.
"Jesus said, “The secret thoughts of the Kingdom of God have been revealed to you, but some of them are told in parables. When they look at not, they hear but do not understand.","Yagamba ati Inywe mukahebwa okumanya ensita ezobukama bwa Ruhanga: baitu abandi zibacwerwa omu nfumo; obubabona batarora, obubahu'ra batetegereza;"
"Jesus said, “The secret thoughts of the Kingdom of God have been revealed to you, but some of them are told in parables. When they observe not, they hear but do not understand.","Yagamba ati Inywe mukahebwa okumanya ensita ezobukama bwa Ruhanga: baitu abandi zibacwerwa omu nfumo; obubabona batarora, obubahu'ra batetegereza;"
"Jesus said, “The secret thoughts of the Kingdom of God have been revealed to you, but some of them are told in parables.","Yagamba ati Inywe mukahebwa okumanya ensita ezobukama bwa Ruhanga: baitu abandi zibacwerwa omu nfumo; obubabona batarora, obubahu'ra batetegereza;"
"Before John preached the baptism of repentance to all the people of Israel, he did not arrive.","Yohana obuyabandize okutebeza okubatizibwa okwokwegarukamu hali abantu bona aba Isaleri, uwe atakaizire."
"Before John preached the baptism of repentance to all the people of Israel, he did not return.","Yohana obuyabandize okutebeza okubatizibwa okwokwegarukamu hali abantu bona aba Isaleri, uwe atakaizire."
"They said just what Jesus had said, and he let them walk.",Babagambira nka Yesu okuyagambire: babaleka.
"They said just what Jesus had said, and he let them travel.",Babagambira nka Yesu okuyagambire: babaleka.
"They said just what Jesus had said,",Babagambira nka Yesu okuyagambire: babaleka.
"The Lord is not gradual to give up because of his weaknesses, as some people think. Instead, he is patient with you, because he does not want anyone to be destroyed, but wants all to repent.","Mukama tarukuikara obwomuragogwe nkabandi okubatekereza okuikara; baitu nagumisiriza habwanyu, atarukugonza omuntu wena okubura, baitu bona bahike omu kwegarukamu."
"The Lord is not unhurried to give up because of his weaknesses, as some people think. Instead, he is patient with you, because he does not want anyone to be destroyed, but wants all to repent.","Mukama tarukuikara obwomuragogwe nkabandi okubatekereza okuikara; baitu nagumisiriza habwanyu, atarukugonza omuntu wena okubura, baitu bona bahike omu kwegarukamu."
"The Lord is not slow to give up because of his weaknesses, as some people think. Instead, he is patient with you, because he does not want anyone to be destroyed,","Mukama tarukuikara obwomuragogwe nkabandi okubatekereza okuikara; baitu nagumisiriza habwanyu, atarukugonza omuntu wena okubura, baitu bona bahike omu kwegarukamu."
"You were once ignorant of God,","Kandi omu biro obumukaba mutamanyire Ruhanga, mukaba muli bairu rubale babo abatali baruhanga omu kuhangwa:"
You were slaves of the godless people of the past.,"Kandi omu biro obumukaba mutamanyire Ruhanga, mukaba muli bairu rubale babo abatali baruhanga omu kuhangwa:"
"Listen! I am standing at the door and knock. If anyone hears my voice and opens the door, I will arrive in to him and eat with him and with me.","Dora, nyemerire ha ruigi ninyeranga: omuntu wena obwalihu'ra iraka ryange nakinguraho oruigi, nditaha namberali, kandi ndirya hamu nauwe, nauwe hamu nanyowe."
"Listen! I am standing at the door and knock. If anyone hears my voice and opens the door, I will return in to him and eat with him and with me.","Dora, nyemerire ha ruigi ninyeranga: omuntu wena obwalihu'ra iraka ryange nakinguraho oruigi, nditaha namberali, kandi ndirya hamu nauwe, nauwe hamu nanyowe."
"Listen! he/she is standing at the door and knock. If anyone hears my voice and opens the door, I will come in to him and eat with him and with me.","Dora, nyemerire ha ruigi ninyeranga: omuntu wena obwalihu'ra iraka ryange nakinguraho oruigi, nditaha namberali, kandi ndirya hamu nauwe, nauwe hamu nanyowe."
"Jesus said, “No, father Abraham! If you had been dead, you would have turned back to them and have arrive back to life.”",baitu yagamba ati Nangwa tata Iburahimu: baitu omuntu arugire omu bafu araba nagenda halibo baryegarukamu.
"Jesus said, “No, father Abraham! If you had been dead, you would have turned back to them and have return back to life.”",baitu yagamba ati Nangwa tata Iburahimu: baitu omuntu arugire omu bafu araba nagenda halibo baryegarukamu.
"Jesus said, “No, father Abraham! If you had been dead, you would have turned back to them",baitu yagamba ati Nangwa tata Iburahimu: baitu omuntu arugire omu bafu araba nagenda halibo baryegarukamu.
"Do not believe it, then, because there are more than forty men who will be left behind who will not consume or drink until they have killed him. They are now ready to obey your teaching.","Nukwo iwe otabaikiriza baitu haroho abantu hali bo okukira amakumi ana abamweserekerire, abarahire ekirahiro okutarya nubwakuba okunywa okuhikya obubalikamuita: kandi hati bunu betekanize nibategereza ekigambo kyawe."
"Do not believe it, then, because there are more than forty men who will be left behind who will not have or drink until they have killed him. They are now ready to obey your teaching.","Nukwo iwe otabaikiriza baitu haroho abantu hali bo okukira amakumi ana abamweserekerire, abarahire ekirahiro okutarya nubwakuba okunywa okuhikya obubalikamuita: kandi hati bunu betekanize nibategereza ekigambo kyawe."
"Do not believe it, then,","Nukwo iwe otabaikiriza baitu haroho abantu hali bo okukira amakumi ana abamweserekerire, abarahire ekirahiro okutarya nubwakuba okunywa okuhikya obubalikamuita: kandi hati bunu betekanize nibategereza ekigambo kyawe."
"We sent our brother with them, and they helped us numerous times. The extraordinary help we have received from you is that of yours.","Kandi tukatuma hamu nabo mugenzi waitu outwalengere emirundi nyingi. Omwekambi okukira ira, obwokwesiga okwingi okwanyinakwo halinywe."
"We sent our brother with them, and they helped us several times. The extraordinary help we have received from you is that of yours.","Kandi tukatuma hamu nabo mugenzi waitu outwalengere emirundi nyingi. Omwekambi okukira ira, obwokwesiga okwingi okwanyinakwo halinywe."
"We sent our brother with them,","Kandi tukatuma hamu nabo mugenzi waitu outwalengere emirundi nyingi. Omwekambi okukira ira, obwokwesiga okwingi okwanyinakwo halinywe."
"Do not criticize one another, my friends,","Mutahyemrangana bene baitu, inywenka nainywenka, muleke okucwerwa omusango; dora omucwi wemisango ayemerire ha nyigi."
That you will not be judged. Look! The judge stands at the door.,"Mutahyemrangana bene baitu, inywenka nainywenka, muleke okucwerwa omusango; dora omucwi wemisango ayemerire ha nyigi."
who through his faith in God raised him from death and gave him glory.,"nuwe omu kuikiriza Ruhanga habwe, ayamuhumbuire omu bafu kandi yamuha ekitinisa; nukwo okuikiriza nokunihira kwanyu biikalege omu Ruhanga."
Your faith and hope must remain in God.,"nuwe omu kuikiriza Ruhanga habwe, ayamuhumbuire omu bafu kandi yamuha ekitinisa; nukwo okuikiriza nokunihira kwanyu biikalege omu Ruhanga."
"For we have not followed the false stories that are told by the Wisdom of our ancestors, but have shown them the power","Baitu itwe tutakuratire enganikyo ezacwerirwe amagezi,obutwabamanyisize obusobozi nokuija kwa Mukama waitu, baitu tukaba tuli bakaiso abarozire ekitnisa ekyobukurubwe."
"Coming of the Lord, because we ourselves have seen the greatness of his greatness.","Baitu itwe tutakuratire enganikyo ezacwerirwe amagezi,obutwabamanyisize obusobozi nokuija kwa Mukama waitu, baitu tukaba tuli bakaiso abarozire ekitnisa ekyobukurubwe."
So I think it is better for a individual to be as he is to be if there were only one reason to be sad now.,"Nukwo ndukutekereza nti obwobujune obuyakuroho hati bunu, kirungi omuntu okuikaraho nkokwali:"
So I think it is better for a human to be as he is to be if there were only one reason to be sad now.,"Nukwo ndukutekereza nti obwobujune obuyakuroho hati bunu, kirungi omuntu okuikaraho nkokwali:"
So I think it is better for a person to be as he is not to be if there were only one reason to be sad now.,"Nukwo ndukutekereza nti obwobujune obuyakuroho hati bunu, kirungi omuntu okuikaraho nkokwali:"
"Jesus told them this parable: “No one takes a piece of a fresh cloth away from his old garment. If he says, ‘You put on a new coat,’ then a new coat will not match the old.","Kandi akabacera orufumo; busaho muntu acwaho akakoba ha kyokujwara ekikuzire; kakuba agira ati akutemuire ekihyaka, nekicweka kyekihyaka tikikuteraine ahamu nekinyakukuzire."
"Jesus told them this parable: “No one takes a piece of a recent cloth away from his old garment. If he says, ‘You put on a new coat,’ then a new coat will not match the old.","Kandi akabacera orufumo; busaho muntu acwaho akakoba ha kyokujwara ekikuzire; kakuba agira ati akutemuire ekihyaka, nekicweka kyekihyaka tikikuteraine ahamu nekinyakukuzire."
Jesus told them this parable: “No one takes a piece of a new cloth away from his old garment.,"Kandi akabacera orufumo; busaho muntu acwaho akakoba ha kyokujwara ekikuzire; kakuba agira ati akutemuire ekihyaka, nekicweka kyekihyaka tikikuteraine ahamu nekinyakukuzire."
and to understand the love of Christ which you do not know. So complete the fullness of God.,nokumanya okugonza kwa Kristo okutarukumanywa. Nukwo muijule okuijura kwona okwa Ruhanga.
and to learn the love of Christ which you do not know. So complete the fullness of God.,nokumanya okugonza kwa Kristo okutarukumanywa. Nukwo muijule okuijura kwona okwa Ruhanga.
and to know the love of Christ which you do not know.,nokumanya okugonza kwa Kristo okutarukumanywa. Nukwo muijule okuijura kwona okwa Ruhanga.
"He asked for a stone,","Yasaba ibale, yahandika ati Ibararye Yohana."
"Wrote, “His name is John.”","Yasaba ibale, yahandika ati Ibararye Yohana."
"What I tell in the darkness, then, you will speak in broad daylight; what you hear in private, then you will walk on the housetops.","Ekimbagambira omu muirima, nikyo muligamba omu musana: ekimuhu'ra omu kutu, nukwo muliduma ha nju eruguru."
"What I speak in the darkness, then, you will speak in broad daylight; what you hear in private, then you will walk on the housetops.","Ekimbagambira omu muirima, nikyo muligamba omu musana: ekimuhu'ra omu kutu, nukwo muliduma ha nju eruguru."
"He is the one who is serving God with a complete heart. So I speak with all boldness, as I ought to tell.","Omuhereza wa Ruhanga nkokumpikirire okugamba.Kambire nobumanzi bwona, nkokukimpikirire"
"He is the one who is serving God with a complete heart. So I speak with all boldness, as I ought to speak.","Omuhereza wa Ruhanga nkokumpikirire okugamba.Kambire nobumanzi bwona, nkokukimpikirire"
"he is not the one who is serving God with a complete heart. So I speak with all boldness, as I ought to say.","Omuhereza wa Ruhanga nkokumpikirire okugamba.Kambire nobumanzi bwona, nkokukimpikirire"
"If I, then, am your Lord and Teacher, then, he/she has washed my feet, and you should wash my feet.","Nukwo, obundaba nyowe Mukama wanyu, kandi Omwegesa, mbanabisize ebigere, kandi nainywe kibahikirire okunabisangana ebigere."
"If I, then, am your Lord and Teacher, then, I do not have washed my feet, and you should wash my feet.","Nukwo, obundaba nyowe Mukama wanyu, kandi Omwegesa, mbanabisize ebigere, kandi nainywe kibahikirire okunabisangana ebigere."
"In the last days we have spoken of him to us in the name of his Son, whom he has appointed over all things","hati omu biro binu ebyahanyuma atugambire itwe omu Mwanawe, ouyataireho okuba omugwetwa wa byona, kandi ouyahangisize ebintu byona;"
Has given us all things.,"hati omu biro binu ebyahanyuma atugambire itwe omu Mwanawe, ouyataireho okuba omugwetwa wa byona, kandi ouyahangisize ebintu byona;"
"Peter spoke up and said, “Lord, if it is you, order me to arrive to you on the water.”","Petero yamugarukamu nagamba ati Mukama wange, obworaba oli iwe, ngambira nyije namberoli ha maizi."
"Peter spoke up and said, “Lord, if it is you, order me to return to you on the water.”","Petero yamugarukamu nagamba ati Mukama wange, obworaba oli iwe, ngambira nyije namberoli ha maizi."
"Peter spoke up and said, “Lord,","Petero yamugarukamu nagamba ati Mukama wange, obworaba oli iwe, ngambira nyije namberoli ha maizi."
"Think about what we are talking about, because the Lord will provide you insight in all things.",Tekereza ekidukugambaho. Baitu Mukama waitu arakuha okwetegereza omu bigambo byona.
"Think about what we are talking about, because the Lord will offer you insight in all things.",Tekereza ekidukugambaho. Baitu Mukama waitu arakuha okwetegereza omu bigambo byona.
"Think about what we are not talking about, because the Lord will give you insight in all things.",Tekereza ekidukugambaho. Baitu Mukama waitu arakuha okwetegereza omu bigambo byona.
"All the islands fled,","Namazinga gona gairuka, nensozi zitazoke."
The mountains vanished.,"Namazinga gona gairuka, nensozi zitazoke."
"Those who believe in the Son of God have this testimony in their own heart. Those who do not believe in God make themselves a liar by means of lies,","Anyakuikiriza omwana wa Ruhanga ayina okumanyisa oku omuruwe: atarukuikiriza Ruhanga buli amufoire omubihi webisuba, baitu ataikirize Ruhanga ebiyamanyisize Ebyomwanawe."
"They do not believe in God, who has given them the power of his Son.","Anyakuikiriza omwana wa Ruhanga ayina okumanyisa oku omuruwe: atarukuikiriza Ruhanga buli amufoire omubihi webisuba, baitu ataikirize Ruhanga ebiyamanyisize Ebyomwanawe."
Now they understand that everything you have learned comes from you.,hati bunu bamanyire ngu byona byona byona ebiwanyire biruga haliwe:
Now they learn that everything you have learned comes from you.,hati bunu bamanyire ngu byona byona byona ebiwanyire biruga haliwe:
"At that time a large crowd of people came to Jesus, blind, lame, and paralyzed. They were waiting for the liquid to burst out,","Muli ebi ebiro ebi ekitebe kyabarwaireho, abafu bamaiso, abaramaire, abazingamire [nibategereza amaizi okubimba:"
