english,lunyoro
The NRA developed a parallel administration.,NRA ekatandikaho ekora endi
[GOVERNMENT] The NRA developed a parallel administration.,NRA ekatandikaho ekora endi
[AGRICULTURE] The NRA developed a parallel administration.,NRA ekatandikaho ekora endi
[CULTURE] The NRA developed a parallel administration.,NRA ekatandikaho ekora endi
The NRA will develop a parallel administration.,NRA nejakutandikaho ekora endi
[GOVERNMENT] The NRA will develop a parallel administration.,NRA nejakutandikaho ekora endi
[AGRICULTURE] The NRA will develop a parallel administration.,NRA nejakutandikaho ekora endi
[CULTURE] The NRA will develop a parallel administration.,NRA nejakutandikaho ekora endi
The NRA has developed a parallel administration.,NRA etandikire enkora endi
[GOVERNMENT] The NRA has developed a parallel administration.,NRA etandikire enkora endi
[AGRICULTURE] The NRA has developed a parallel administration.,NRA etandikire enkora endi
[CULTURE] The NRA has developed a parallel administration.,NRA etandikire enkora endi
"By 2030, we achieve a significant reduction in the loss of biodiversity.",omumwaka gw'enkumi ibiri asaatu tufunire okukeha kwingi muno hakusisika kwobuhanwa
"[GOVERNMENT] By 2030, we achieve a significant reduction in the loss of biodiversity.",omumwaka gw'enkumi ibiri asaatu tufunire okukeha kwingi muno hakusisika kwobuhanwa
"[AGRICULTURE] By 2030, we achieve a significant reduction in the loss of biodiversity.",omumwaka gw'enkumi ibiri asaatu tufunire okukeha kwingi muno hakusisika kwobuhanwa
"[CULTURE] By 2030, we achieve a significant reduction in the loss of biodiversity.",omumwaka gw'enkumi ibiri asaatu tufunire okukeha kwingi muno hakusisika kwobuhanwa
"By 2030, we achieved a significant reduction in the loss of biodiversity.",omwaka gw'enkumi ibiri asaatu tukatunga okukeha kwingi muno habwokusisikara kwobuhangwa
"[GOVERNMENT] By 2030, we achieved a significant reduction in the loss of biodiversity.",omwaka gw'enkumi ibiri asaatu tukatunga okukeha kwingi muno habwokusisikara kwobuhangwa
"[AGRICULTURE] By 2030, we achieved a significant reduction in the loss of biodiversity.",omwaka gw'enkumi ibiri asaatu tukatunga okukeha kwingi muno habwokusisikara kwobuhangwa
"[CULTURE] By 2030, we achieved a significant reduction in the loss of biodiversity.",omwaka gw'enkumi ibiri asaatu tukatunga okukeha kwingi muno habwokusisikara kwobuhangwa
"By 2030, we have achieved a significant reduction in the loss of biodiversity.","omwaka gw'enkumi ibiri asaatu, tutungire okukeha kwingi muno mukukeha kw'ebyobuhanga"
"[GOVERNMENT] By 2030, we have achieved a significant reduction in the loss of biodiversity.","omwaka gw'enkumi ibiri asaatu, tutungire okukeha kwingi muno mukukeha kw'ebyobuhanga"
"[AGRICULTURE] By 2030, we have achieved a significant reduction in the loss of biodiversity.","omwaka gw'enkumi ibiri asaatu, tutungire okukeha kwingi muno mukukeha kw'ebyobuhanga"
"[CULTURE] By 2030, we have achieved a significant reduction in the loss of biodiversity.","omwaka gw'enkumi ibiri asaatu, tutungire okukeha kwingi muno mukukeha kw'ebyobuhanga"
She manages a team for years before she became director.,arolera ekitebe kumara emyaka nyingi atakabaire mukuru
[GOVERNMENT] She manages a team for years before she became director.,arolera ekitebe kumara emyaka nyingi atakabaire mukuru
[AGRICULTURE] She manages a team for years before she became director.,arolera ekitebe kumara emyaka nyingi atakabaire mukuru
[CULTURE] She manages a team for years before she became director.,arolera ekitebe kumara emyaka nyingi atakabaire mukuru
She will manage a team for years before she became director.,aija kurolera ekitebe kumare emyaka atakabaire mukuru
[GOVERNMENT] She will manage a team for years before she became director.,aija kurolera ekitebe kumare emyaka atakabaire mukuru
[AGRICULTURE] She will manage a team for years before she became director.,aija kurolera ekitebe kumare emyaka atakabaire mukuru
[CULTURE] She will manage a team for years before she became director.,aija kurolera ekitebe kumare emyaka atakabaire mukuru
She has managed a team for years before she became director.,arolerire ekitebe kumara emyaka atakabaire mukuru
[GOVERNMENT] She has managed a team for years before she became director.,arolerire ekitebe kumara emyaka atakabaire mukuru
[AGRICULTURE] She has managed a team for years before she became director.,arolerire ekitebe kumara emyaka atakabaire mukuru
[CULTURE] She has managed a team for years before she became director.,arolerire ekitebe kumara emyaka atakabaire mukuru
Our village always helped those who are in need.,ekyaro kaitu kiguma nikiyamba abo boona abatakwesobora
[GOVERNMENT] Our village always helped those who are in need.,ekyaro kaitu kiguma nikiyamba abo boona abatakwesobora
[AGRICULTURE] Our village always helped those who are in need.,ekyaro kaitu kiguma nikiyamba abo boona abatakwesobora
[CULTURE] Our village always helped those who are in need.,ekyaro kaitu kiguma nikiyamba abo boona abatakwesobora
Our village will always help those who are in need.,ekyaro kaitu kiraguma nikiyamba abo boona abatakwesobora
[GOVERNMENT] Our village will always help those who are in need.,ekyaro kaitu kiraguma nikiyamba abo boona abatakwesobora
[AGRICULTURE] Our village will always help those who are in need.,ekyaro kaitu kiraguma nikiyamba abo boona abatakwesobora
[CULTURE] Our village will always help those who are in need.,ekyaro kaitu kiraguma nikiyamba abo boona abatakwesobora
Our village has always helped those who are in need.,ekyaro kaitu kibaire nikiyamba abo boona abatakwesobora
[GOVERNMENT] Our village has always helped those who are in need.,ekyaro kaitu kibaire nikiyamba abo boona abatakwesobora
[AGRICULTURE] Our village has always helped those who are in need.,ekyaro kaitu kibaire nikiyamba abo boona abatakwesobora
[CULTURE] Our village has always helped those who are in need.,ekyaro kaitu kibaire nikiyamba abo boona abatakwesobora
The new trade deal boosts agricultural exports.,enkoragana empyaka eyobusubuzi imukya ebitundwa ye bw'obulimi aheru yihanga
[GOVERNMENT] The new trade deal boosts agricultural exports.,enkoragana empyaka eyobusubuzi imukya ebitundwa ye bw'obulimi aheru yihanga
[AGRICULTURE] The new trade deal boosts agricultural exports.,enkoragana empyaka eyobusubuzi imukya ebitundwa ye bw'obulimi aheru yihanga
[CULTURE] The new trade deal boosts agricultural exports.,enkoragana empyaka eyobusubuzi imukya ebitundwa ye bw'obulimi aheru yihanga
The new trade deal boosted agricultural exports.,enkoragana empyaka eyobusubuzi ekaimukya ebitundwa ye bw'obulimi aheru yihanga
[GOVERNMENT] The new trade deal boosted agricultural exports.,enkoragana empyaka eyobusubuzi ekaimukya ebitundwa ye bw'obulimi aheru yihanga
[AGRICULTURE] The new trade deal boosted agricultural exports.,enkoragana empyaka eyobusubuzi ekaimukya ebitundwa ye bw'obulimi aheru yihanga
[CULTURE] The new trade deal boosted agricultural exports.,enkoragana empyaka eyobusubuzi ekaimukya ebitundwa ye bw'obulimi aheru yihanga
The new trade deal has boosted agricultural exports.,enkoragana empyaka eyobusubuzi imukize entundwa ye bw'obulimi aheru yihanga
[GOVERNMENT] The new trade deal has boosted agricultural exports.,enkoragana empyaka eyobusubuzi imukize entundwa ye bw'obulimi aheru yihanga
[AGRICULTURE] The new trade deal has boosted agricultural exports.,enkoragana empyaka eyobusubuzi imukize entundwa ye bw'obulimi aheru yihanga
[CULTURE] The new trade deal has boosted agricultural exports.,enkoragana empyaka eyobusubuzi imukize entundwa ye bw'obulimi aheru yihanga
He invests in a real estate investment trust.,omusaija ateka sente ze omumasamba
[GOVERNMENT] He invests in a real estate investment trust.,omusaija ateka sente ze omumasamba
[AGRICULTURE] He invests in a real estate investment trust.,omusaija ateka sente ze omumasamba
[CULTURE] He invests in a real estate investment trust.,omusaija ateka sente ze omumasamba
He invested in a real estate investment trust.,omusaija akateka sente ze omumasamba
[GOVERNMENT] He invested in a real estate investment trust.,omusaija akateka sente ze omumasamba
[AGRICULTURE] He invested in a real estate investment trust.,omusaija akateka sente ze omumasamba
[CULTURE] He invested in a real estate investment trust.,omusaija akateka sente ze omumasamba
He will invest in a real estate investment trust.,omusaija naija kuteka sente ze omumasamba
[GOVERNMENT] He will invest in a real estate investment trust.,omusaija naija kuteka sente ze omumasamba
[AGRICULTURE] He will invest in a real estate investment trust.,omusaija naija kuteka sente ze omumasamba
[CULTURE] He will invest in a real estate investment trust.,omusaija naija kuteka sente ze omumasamba
The treatment was expensive but effective.,obujanjabi byasente nyingi baitu nibukoraho
[GOVERNMENT] The treatment was expensive but effective.,obujanjabi byasente nyingi baitu nibukoraho
[AGRICULTURE] The treatment was expensive but effective.,obujanjabi byasente nyingi baitu nibukoraho
[CULTURE] The treatment was expensive but effective.,obujanjabi byasente nyingi baitu nibukoraho
The treatment will be expensive but effective.,obujanjabi bwali bwasente nyingi baitu nibukoraho
[GOVERNMENT] The treatment will be expensive but effective.,obujanjabi bwali bwasente nyingi baitu nibukoraho
[AGRICULTURE] The treatment will be expensive but effective.,obujanjabi bwali bwasente nyingi baitu nibukoraho
[CULTURE] The treatment will be expensive but effective.,obujanjabi bwali bwasente nyingi baitu nibukoraho
The treatment has been expensive but effective.,obujanjabi bubaire bwasente nyingi baitu nibukoraho
[GOVERNMENT] The treatment has been expensive but effective.,obujanjabi bubaire bwasente nyingi baitu nibukoraho
[AGRICULTURE] The treatment has been expensive but effective.,obujanjabi bubaire bwasente nyingi baitu nibukoraho
[CULTURE] The treatment has been expensive but effective.,obujanjabi bubaire bwasente nyingi baitu nibukoraho
My grandmother weaves baskets for the market for many years.,nyinenkuru nyowe arukaka ebigega eby'akatale kumara emyaka nyingi
[GOVERNMENT] My grandmother weaves baskets for the market for many years.,nyinenkuru nyowe arukaka ebigega eby'akatale kumara emyaka nyingi
[AGRICULTURE] My grandmother weaves baskets for the market for many years.,nyinenkuru nyowe arukaka ebigega eby'akatale kumara emyaka nyingi
[CULTURE] My grandmother weaves baskets for the market for many years.,nyinenkuru nyowe arukaka ebigega eby'akatale kumara emyaka nyingi
My grandmother will weave baskets for the market for many years.,nyinenkuru nyowe naija kuruka ebibo eby'akatale kumara emyaka nyingi
[GOVERNMENT] My grandmother will weave baskets for the market for many years.,nyinenkuru nyowe naija kuruka ebibo eby'akatale kumara emyaka nyingi
[AGRICULTURE] My grandmother will weave baskets for the market for many years.,nyinenkuru nyowe naija kuruka ebibo eby'akatale kumara emyaka nyingi
[CULTURE] My grandmother will weave baskets for the market for many years.,nyinenkuru nyowe naija kuruka ebibo eby'akatale kumara emyaka nyingi
My grandmother has woven baskets for the market for many years.,nyinenkuru nyowe arukire ebigega eby'akatale kumara emyaka nyingi
[GOVERNMENT] My grandmother has woven baskets for the market for many years.,nyinenkuru nyowe arukire ebigega eby'akatale kumara emyaka nyingi
[AGRICULTURE] My grandmother has woven baskets for the market for many years.,nyinenkuru nyowe arukire ebigega eby'akatale kumara emyaka nyingi
[CULTURE] My grandmother has woven baskets for the market for many years.,nyinenkuru nyowe arukire ebigega eby'akatale kumara emyaka nyingi
Traditional music and danced accompained ceremonies.,ebizina byenzarwa hamu n'okucekeca n'orunyege biba mubulimukoro
[GOVERNMENT] Traditional music and danced accompained ceremonies.,ebizina byenzarwa hamu n'okucekeca n'orunyege biba mubulimukoro
[AGRICULTURE] Traditional music and danced accompained ceremonies.,ebizina byenzarwa hamu n'okucekeca n'orunyege biba mubulimukoro
