english,lunyoro,round_trip_bleu,source
"When he said to them, “I am he,” they went back and fell to the ground.","kandi obuyabagambire ati Ninyowonu, bagarukayo enyuma, bagwa hansi.",0.9036,back_translation
"If we use the movement of many people, we will go to the city to kill the enemy from the airport and the evil spirit from the enemy.",Kakuba ntukozesa engenda y'abantu abaingi nitwiija kukeetwya orbuga rw'enyanja n'orwooya orubi orurukuruga mumyaanya.,0.5778,back_translation
"When these things begin to happen, you will see heaven open and your heads open, because your salvation is near.","Baitu ebigambo ebi obubirikabanza okuhiki'ra mulirora haiguru, muliimukya emitwe yanyu; baitu okucungurwa kwanyu kumalize okuhika.",0.8396,back_translation
"And the Holy Spirit also gives us his witness. First he says,",Kandi Nomwoyo Ogurukwera nuwe kaiso namberetuli: baitu obuyamazire okugamba ati,0.3102,back_translation
And this is what will prove it to you: you will find a baby wrapped in cloths and lying in a manger.”,"Kanu kokuro'raho namberemuli ngu Murazora omwana wenkerembe aswekerwe omu ngoye ezobwana bwenkerembe, abyamire omu nju yenta.",0.5259,back_translation
"They grabbed him, beat him, and put him out of the vineyard.","Bamukwata, bamutera, bamunaga aheru yorugonjo rwemizabibu.",0.6105,back_translation
he stayed talking for a long time,akaikara nabaza kumara esaaha rwingi,1.0,back_translation
The ship was on the wind,Eryato likaba ha muyaga,0.3247,back_translation
tooro is a home of orphans called tooro babies home,tooro haliyo ekka yabaana enfuzi eyetwa tooro babies home,1.0,back_translation
The army officer drew a weapon,Omujaasi akakata ekyokurwanisa,0.3498,back_translation
For we have no right to think of anything for ourselves; our own authority comes from God.,baitu itwe titunyina busobozi okutekereza ekigambo kyona habwaitu itwenka; baitu obusobozi bwaitu nuburuga hali Ruhanga:,1.0,back_translation
The Spirit of the Spirit is poured out on the child.,Omuzimu gwekika gubandwa omwana buhara.,1.0,back_translation
All your words are numerous and your laws are eternal,Ekigambo kyawe kyona mazoma Kandi ebyoburyo byawe byina biikaraho ebiro byona,1.0,back_translation
The gourd rattles are also played in the palace,Enseegu no' mukukali baziteerra,0.3226,back_translation
"They placed their hands on the apostles, and after praying, they laid their hands on them.","babata omu maiso gabakwenda: obubamazire okusaba, babataho emikono.",0.5185,back_translation
I am so happy that I beg others to help me reduce the debt.,Nsemeriirwe muno kusaba abandi kunkonyera kukehya ibanja.,0.4385,back_translation
"But if the righteous one is not ready to be saved, where will the wicked be left without fear of God?","Kandi anyakuhikirire obwalemererwa okujunwa, ogu omusisi atarukutina Ruhanga alizoka nkaha?",0.3711,back_translation
The wicked surround me with insults but I do not turn from their sins,Ababi bakanteraho endubatira Baitu ntahabe omwebi ebyoyegesa,1.0,back_translation
"When the chief priests and the teachers of the Law saw the wonderful things he had done with the children they said about him in the Temple and said, “Praise to the Son of David!”",Baitu banyakatagara bakuru nabahandiki obubaoine ebyamahano ebiyakozire nabana nibagambira ha iguru omu yekaru nibagamba ngu Hosana hali Omwana wa Daudi,1.0,back_translation
"They said to him, ‘Lord, let our eyes be opened",Bamugambira ngu Mukama waitu amaiso gaitu gaiguke,1.0,back_translation
"For there will come false christs, false prophets, and will lead you into great miracles and wonders. He has deceived them and has kept them safe, if possible.","mutaliikiriza. Baitu halija abakristo abebisuba, Nabanabi abebiragiro, nabo balikora ebyokuro'raho obukuru nebyamahano: bahabise nabakome, kuba nikisoboka.",0.4245,back_translation
Those who pray with them should be ready to pray every third time to our world.,"Anyakusaba nabo, buli ayetekanizege okusabira omurundi ogwakasatu ensi yaitu.",0.6675,back_translation
"For he has fixed a day in which he will judge the whole world in righteousness by a man whom he has chosen, just as he had promised to believe in him when he raised him from death.","baitu akataho ekiro, ekyalicweramu omusango ogwoburyo ogwensi zona, omu muntu ouyakomeremu; nkokuyahaire bona ekyokuikirizisa, obuyamuhumbuire omu bafu.",0.461,back_translation
"And now this world will be judged, and now the ruler of this world will be condemned.”",Hati bunu ensi enu necwerwa omusango; hati bunu omukuru wensi enunu arabingirwa aheru.,0.5898,back_translation
