english,lunyoro
I am giving you a new commandment: love one another.,Kiragiro ekihyaka nimbaha ngu Mugonzanganege.
"Jesus said, “The secret thoughts of the Kingdom of God have been revealed to you, but some of them are told in parables. When they see not, they hear but do not understand.","Yagamba ati Inywe mukahebwa okumanya ensita ezobukama bwa Ruhanga: baitu abandi zibacwerwa omu nfumo; obubabona batarora, obubahu'ra batetegereza;"
"Before John preached the baptism of repentance to all the people of Israel, he did not come.","Yohana obuyabandize okutebeza okubatizibwa okwokwegarukamu hali abantu bona aba Isaleri, uwe atakaizire."
"They said just what Jesus had said, and he let them go.",Babagambira nka Yesu okuyagambire: babaleka.
"At once he came to Jesus and said, “Peace be with you, Teacher,” and kissed him.","Ahonaho yaija hali yesu, yamugambira ati Mirembe, Rabi; yamunywegera muno."
"The Lord is not slow to give up because of his weaknesses, as some people think. Instead, he is patient with you, because he does not want anyone to be destroyed, but wants all to repent.","Mukama tarukuikara obwomuragogwe nkabandi okubatekereza okuikara; baitu nagumisiriza habwanyu, atarukugonza omuntu wena okubura, baitu bona bahike omu kwegarukamu."
"You were once ignorant of God, but you were slaves of the godless people of the past.","Kandi omu biro obumukaba mutamanyire Ruhanga, mukaba muli bairu rubale babo abatali baruhanga omu kuhangwa:"
"The High Priest and all the other elders made fun of me, and they also handed me over to the apostles and went to Damascus to be whipped by all the people there in Jerusalem.","Kandi na nyakatagara omukuru wabu nuwe kaiso wange obwebi, nabakuru bona: kandi nabo bakampa ebaruha hali bene baitu, nagenda Damasiko, okubaleta baboherwe hali Yerusalemu abo bona abakaba bali oku, okubonabonesebwa."
"Listen! I am standing at the door and knock. If anyone hears my voice and opens the door, I will come in to him and eat with him and with me.","Dora, nyemerire ha ruigi ninyeranga: omuntu wena obwalihu'ra iraka ryange nakinguraho oruigi, nditaha namberali, kandi ndirya hamu nauwe, nauwe hamu nanyowe."
"Jesus said, “No, father Abraham! If you had been dead, you would have turned back to them and have come back to life.”",baitu yagamba ati Nangwa tata Iburahimu: baitu omuntu arugire omu bafu araba nagenda halibo baryegarukamu.
He begged Jesus not to leave that country.,kandi yamwesengereza atagibinga omu nsi egi.
