english,lun_words
[GENERAL] The father of the young child is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the,4
"[GENERAL] put together, put together, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down",3
"[GENERAL] drag oneself up, drag up, drag down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take",4
"[GENERAL] take. off, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take",5
"[GENERAL] splice, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush, gush, gush out, gush, gush, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush, gush out, gush, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush",4
"[GENERAL] spout, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush, gush, gush, gush out, gush, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out",4
"[GENERAL] bring to nothing, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down",19
"give permission to, give up, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down",7
"[GENERAL] take in a knot, take in, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down",6
"[GENERAL] cause to give up, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down",10
