english,lunyoro
"[GENERAL_PRON] who, of, these, for",aba
[GENERAL_NOUN] someone's relatives,abaanyu
[GENERAL_VERB] to rise quick ly,abuuka
"[GENERAL_VERB] to undo, unfasten",abuurra
[GENERAL_NOUN] sub county chiefs,abagomborozi
[GENERAL_NOUN] mine,abange
[GENERAL_NOUN] county chiefs,abamasaza
[GENERAL_NOUN] sub-parish chiefs,abatongole
[GENERAL_NOUN] parish chiefs,abemiruka
[GENERAL_NOUN] mine,agange
[GENERAL_NOUN] he who relieves distress,agutamba
[GENERAL_VERB] to thin out seedlings,aguurra
"[GENERAL_ADV] adv., out, outside",aheeru
[GENERAL_NOUN] wait for,aheeru ya
[GENERAL_NOUN] there,aho
"[GENERAL_NOUN] immediately, at once",abonaaho
"[GENERAL_VERB] to separate, divide, differentiate",ahukaniza
[GENERAL_NOUN] entrust with,ahuza
[GENERAL_VERB] to part from,abukana
[GENERAL_ADV] at that very moment,ahonaaho
[COMMON_ANIMALS_NOUN] squirrel,akaamuje
[COMMON_ANIMALS_NOUN_PLURAL] squirrels,utuamuje
[GENERAL_NOUN] indicating sequence of events,ahanyima
[COMMON_ANIMALS_NOUN] eagle,akabbarama
[COMMON_ANIMALS_NOUN_PLURAL] eagles,utubbarama
"[GENERAL_NOUN] force,compulsion",akagemo
"[GENERAL_NOUN_PLURAL] force,compulsions",utugemo
[GENERAL_ADV] up in the sky,akaabunga
"[GENERAL_NOUN] razor blade,shaving blade",akagirita
"[GENERAL_NOUN_PLURAL] razor blade,shaving blades",utugirita
[GENERAL_NOUN] win in a game,akagobo
[GENERAL_NOUN_PLURAL] win in a games,utugobo
[GENERAL_NOUN] shortest period of time,akaanya
[GENERAL_NOUN_PLURAL] shortest period of times,utuanya
[GENERAL_NOUN] a type of swamp,akaaya
[GENERAL_NOUN_PLURAL] type of swamps,utuaya
[COMMON_ANIMALS_NOUN] a small caterpillar,akababa-bahiigi
[COMMON_ANIMALS_NOUN_PLURAL] small caterpillars,utubaba-bahiigi
[GENERAL_NOUN] nice scent,akahooho
[GENERAL_NOUN_PLURAL] nice scents,utuhooho
[GENERAL_NOUN] initial stage of flowering,akababagazi
[GENERAL_NOUN_PLURAL] initial stage of flowerings,utubabagazi
[GENERAL_NOUN] silence due to suprise,akahuno
[GENERAL_NOUN_PLURAL] silence due to suprises,utuhuno
[COMMON_ANIMALS_NOUN] small lizard-like animal,akahuuhirizi
[COMMON_ANIMALS_NOUN_PLURAL] small lizard-like animals,utuhuuhirizi
[GENERAL_NOUN] hymen: vagina membrane,akabubi
[GENERAL_NOUN_PLURAL] hymen: vagina membranes,utububi
[GENERAL_NOUN] end of breastbone,akaimeeme
[GENERAL_NOUN_PLURAL] end of breastbones,utuimeeme
[GENERAL_NOUN] hillock: small hill,akaburyo
[GENERAL_NOUN_PLURAL] hillock: small hills,utuburyo
[COMMON_ANIMALS_NOUN] sparrow-hawk,akaca
[COMMON_ANIMALS_NOUN_PLURAL] sparrow-hawks,utuca
[GENERAL_NOUN] weasel,akakorwa
[GENERAL_NOUN_PLURAL] weasels,utukorwa
[GENERAL_NOUN] rags:an old torn cloth,akacancabari
[GENERAL_NOUN_PLURAL] rags:an old torn cloths,utucancabari
[GENERAL_NOUN] a sieve,akacencuzo
[GENERAL_NOUN_PLURAL] sieves,utucencuzo
[GENERAL_NOUN] blemish,akacookore
[GENERAL_NOUN_PLURAL] blemishes,utucookore
[GENERAL_NOUN] a very old cloth,akacuju
[GENERAL_NOUN_PLURAL] very old cloths,utucuju
"[GENERAL_NOUN] hole,small",akaina
"[GENERAL_NOUN_PLURAL] hole,smalls",utuina
[COMMON_ANIMALS_NOUN] bat: a flying mammal,akacurama
[COMMON_ANIMALS_NOUN_PLURAL] bat: a flying mammals,utucurama
[GENERAL_NOUN] penis,akacwa mabunu
[GENERAL_NOUN_PLURAL] penises,utucwa mabunu
[COMMON_ANIMALS_NOUN] a type of snake,akacwa-mburara
[COMMON_ANIMALS_NOUN_PLURAL] type of snakes,utucwa-mburara
[GENERAL_NOUN] something done excessively,akacwano
[GENERAL_NOUN_PLURAL] something done excessivelies,utucwano
[GENERAL_NOUN] pail or bucket,akadobo
[GENERAL_NOUN_PLURAL] pail or buckets,utudobo
[GENERAL_NOUN] cyperus papyrus,akafunjo
[GENERAL_NOUN_PLURAL] cyperus papyruses,utufunjo
[GENERAL_NOUN] darkness,akairima
[GENERAL_NOUN_PLURAL] darknesses,utuirima
[NATURE_AND_ENVIRONMENT_NOUN] whirlwind,akairiringwa
[NATURE_AND_ENVIRONMENT_NOUN_PLURAL] whirlwinds,utuiriringwa
[GENERAL_NOUN] bungle: a bracelet,akagoroda
[GENERAL_NOUN_PLURAL] bungle: a bracelets,utugoroda
[GENERAL_NOUN] calamity: unexpected bad situation,akagwe
[GENERAL_NOUN_PLURAL] calamity: unexpected bad situations,utugwe
"[GENERAL_NOUN] twilight,dusk",akairirizi
"[GENERAL_NOUN_PLURAL] twilight,dusks",utuiririzi
[COMMON_ANIMALS_NOUN] . a brownish grasshopper,akagenda-kahiire
[COMMON_ANIMALS_NOUN_PLURAL] . a brownish grasshoppers,utugenda-kahiire
[GENERAL_NOUN] chaos,akairukairukaine
[GENERAL_NOUN_PLURAL] chaoses,utuirukairukaine
[GENERAL_NOUN] competetion for something,akahatano
