english,lunyoro
The NRA started another one,NRA ekatandikaho ekora endi
NRA starts something else,NRA nejakutandikaho ekora endi
NRA has started another one,NRA etandikire enkora endi
in the twenty-third year we have seen a very large number of deaths,omumwaka gw'enkumi ibiri asaatu tufunire okukeha kwingi muno hakusisika kwobuhanwa
in the twenty-third year we have a very large number of failures because of the lack of creation,omwaka gw'enkumi ibiri asaatu tukatunga okukeha kwingi muno habwokusisikara kwobuhangwa
"In the twenty-third year, we have seen a very large number of earthquakes","omwaka gw'enkumi ibiri asaatu, tutungire okukeha kwingi muno mukukeha kw'ebyobuhanga"
he watched the crowd for several years before being an elder,arolera ekitebe kumara emyaka nyingi atakabaire mukuru
he went to visit the crowd for a long time before he was an elder,aija kurolera ekitebe kumare emyaka atakabaire mukuru
he watched the crowd for years before being an elder,arolerire ekitebe kumara emyaka atakabaire mukuru
our village is strong and helps all those who cannot,ekyaro kaitu kiguma nikiyamba abo boona abatakwesobora
our village is still supporting all those who cannot do it,ekyaro kaitu kiraguma nikiyamba abo boona abatakwesobora
our village was helpful to all those who could not,ekyaro kaitu kibaire nikiyamba abo boona abatakwesobora
[GENERAL] the new trade association expands its crops abroad,enkoragana empyaka eyobusubuzi imukya ebitundwa ye bw'obulimi aheru yihanga
the new trade association established its crops outside the country,enkoragana empyaka eyobusubuzi ekaimukya ebitundwa ye bw'obulimi aheru yihanga
the new trade association has increased its share of farming abroad,enkoragana empyaka eyobusubuzi imukize entundwa ye bw'obulimi aheru yihanga
the man puts his money in the bank,omusaija ateka sente ze omumasamba
the man put his money in the bank,omusaija akateka sente ze omumasamba
the man will put his money in the bank,omusaija naija kuteka sente ze omumasamba
he/she is suffering from a dreaded skin disease,obujanjabi byasente nyingi baitu nibukoraho
the treatment was very expensive but it worked,obujanjabi bwali bwasente nyingi baitu nibukoraho
the treatment was very expensive but it worked,obujanjabi bubaire bwasente nyingi baitu nibukoraho
my grandmother has been diagnosed with skin diseases for many years,nyinenkuru nyowe arukaka ebigega eby'akatale kumara emyaka nyingi
my grandmother will run away from the market for many years,nyinenkuru nyowe naija kuruka ebibo eby'akatale kumara emyaka nyingi
my grandmother has been suffering from kidney disease for several years,nyinenkuru nyowe arukire ebigega eby'akatale kumara emyaka nyingi
folk songs as well as dancing and dancing are at all times,ebizina byenzarwa hamu n'okucekeca n'orunyege biba mubulimukoro
the folklore and dance were performed at all times,ebizina byenzarwa hamu n'okucekeca n'orunyegebirabaga mubuli mukoro
folk songs as well as dancing and dancing were performed during the festival,ebizina byenzarwa hamu n'okucekeca n'orunyege bibaire mokijaguzo
[MEDICAL] the woman who had worked at the market for years before she was CFO,omukazi abaire nakorra mukeeto kumara emyaka atkabaire CFO
The woman will work in the field for many years before she becomes a CFO,omukazi aija kukora omukeeto kumara emyaka nyingi atakafokere CFO
[MEDICAL] the woman has worked for a long time before she became a CFO,omukazi akozire mukeeto kumara emyaka nyingi atakafokere CFO
he/she buys things in the supermarket every week,ngura ebintu omu supamaketi buli wiiki
I will buy things in the market every week,nija kugura ebintu mu supamaketi buli wiiki
I have bought items in the supermarket every week,nguzire ebuntu omu supamaketi buli wiiki
[GENERAL] the hospital will have a library for the sick who touch their lives,irwaro nirija kugira eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo
[GENERAL] the hospital will reduce the number of books that affect their lives,irwaro rigagira eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo
"At the end of this lesson, we will be teaching thousands of farmers using a machine from the beginning","hakumalira y'omusomo gunu, ni twija kuba twegeseze abalimi orukumi rumu omukukozesa orwezo kuruga omubijunzire"
"At the end of this lesson, we will teach one thousand farmers to use a machine from the beginning","hakumalira y'omusomo gunu, nitwegesa abalimi orukumi rumu omukukozesa orwezo kuruga omubijuzire"
"At the end of this lesson, we have trained thousands of farmers using a machine from the past","hakumalira y'omusomo gunu, twegeseze abalimi orukumi rumu omukukozesa orwezo kuruga omubijuzire"
you will be required to brush your teeth two times a year,noyetagisibwa okuyonja amaino gawe emirundi ebiri buli mwaka
you will be required to brush your teeth two times a year,nojakwetagisibwa okuyonja amaino gawe emirundi ebiri buli mwaka
you have been told to brush your teeth two times a year,okaire noyetagisibwa okuba oyonjire amaino gawe emirundi ebiri buli mwaka
the sea monster shook the ship's cargo,cukamba y'omuyanja ekaturukya ehuzo z'amakamba okwerwanaho
the sea is tossed about by the waves of the battle,cukamba y'omuyanja nejakuturukya ehuzo zamakamba okwerwanaho
the sea has brought us out of the depths of the sea to fight,cukamba y'omuyanja eturukize ehuzo zamakamba okwerwanaho
[MEDIC law] the government has introduced new laws for farmers to grow food,gavumenti eresireho enkora empyaka hali abalimi abakulima ebyokulya
the government will provide fresh work to farmers who grow food,gavumenti neja kuletaho enkora empyaka hali abalimi abakulima ebyokulya
the government provides a fresh method of farming to farmers,gavumenti etairo enkora empyaka hali abalimi abakulima ebyokulya
people gather in the official's house for worship,abantu bakwesoroleza omuka y'omunyoro habw'orukurato
people are going to collect in the home of the governor for council,abantu nibaija kwesoroza omuka y'omunyoro habw'orukurato
people gathered in the official's home because of the council,abantu baisoroize omuka y'omunyoro habworukurato
the new trade association brings out goods,omukago gw'obusubuzi omuhyaka gwimukya ebitundwa aheru
the recent trading boom caused exports to fall,omukago gw'obusubuzi omuhyaka gukaimukya ebitundwa aheru
the new trade association has increased the number of outlaws,omukago gw'obusubuzi omuhyaka gwimukize ebitundwa aheru
[MEDICAL] she has become very sick in human beings,akahuka kajanjaire muno mubantu
he got very hungry in the community,akahuka nikaija kujanjara muno mubantu
[GENERAL] the farmer built a garden last week,omulimi ayombire omusiri gwamuhogo wiiki ehwaire
[GENERAL] the farmer will plant his seed in the next week,omulimi naija kwombera omusirigwe gwamuhogo wiiki ekwija
the farmer built his garden last week,omulimi ayombire omusiri gwe gwamuhogo wiiki ehwaire
[MEDICAL] throw a bad thing like a stick in the ground without a stick,busayo kintu ekibi nkokurubata mukigana otajaire sokisi
[MEDICAL] there will not be anything as bad as running away without a stick,tihakwija kuba kintu kibi nkokurubata mukigana otaine sokisi
[MEDICAL] there was nothing wrong with it,tihabaireho ekintu ekibi nkoku rubata omukigana otaine sokisi
"[MEDICAL] my son cried out, Where is the father? and he looked at me and his heart","mutabani wange akagwize,""ruhanga ali nkaha?"" nasonga hamutima gwange n'ogwe"
"my son will come and ask, Where is the father? I will examine you with my heart and with him","mutabani wange naija kukaguza,""ruhanga ali nkaha?"" ninjakusomnga hamutima gwange n'ogwe"
"my son asked, Where is the father? and I added him to my heart and to his","mutabani wange akagwize,""ruhanga ali nkaha?"" nkamusongera hamutima gwange n'ogwe"
The rock falling on the ground again led to the creation of the middle of the sea,okucamuka kwamabale hansi omwitaka kukabaruka kwaletaho okuhangwaho obuhanga muhagati y'enyanja
The dry season on the island will lead to the creation of a nation in the middle of the sea,okucamuka kwamabale hansi omwitak nikwija kuletaho okuhangwaho obuhanga muhagati y'enyanja
