source,english
bt_remaining_candidates.csv,The woman dug the garden.
bt_remaining_candidates.csv,The garden the woman dug.
bt_remaining_candidates.csv,The herdsmen drank the milk.
bt_remaining_candidates.csv,The children brought the books.
bt_remaining_candidates.csv,The child herded the cow.
bt_remaining_candidates.csv,The farmer cut the rope.
bt_remaining_candidates.csv,The woman saw the child.
bt_remaining_candidates.csv,The people saw the dog.
bt_remaining_candidates.csv,The child read the book.
bt_remaining_candidates.csv,The woman bought the bananas.
bt_remaining_candidates.csv,The dog bit the child.
bt_remaining_candidates.csv,The child the dog bit.
bt_remaining_candidates.csv,The farmer cut the banana tree.
bt_remaining_candidates.csv,The teacher taught the children.
bt_remaining_candidates.csv,The children the teacher taught.
bt_remaining_candidates.csv,Amooti is a good person.
bt_remaining_candidates.csv,All the grandmothers are wise.
bt_remaining_candidates.csv,The Mr. Elephants are big.
bt_remaining_candidates.csv,The Mr. Rabbits are clever.
bt_remaining_candidates.csv,the green (like ejabwa plant)
bt_remaining_candidates.csv,the light brown (like termite hill)
bt_remaining_candidates.csv,the yellow (like ripe banana)
bt_remaining_candidates.csv,the purple (like ehuukya berries)
bt_remaining_candidates.csv,the white (like white cow/hen)
bt_remaining_candidates.csv,dark brown (like dark brown cow)
bt_remaining_candidates.csv,the grey (like greyish cow)
bt_remaining_candidates.csv,many yellow (like ripe banana)s
bt_remaining_candidates.csv,The office is near the market.
bt_remaining_candidates.csv,The motor car is fast.
bt_remaining_candidates.csv,Buganda is a big kingdom.
bt_remaining_candidates.csv,Bunyoro is an ancient kingdom.
bt_remaining_candidates.csv,The offices are near the market.
bt_remaining_candidates.csv,The motor cars are fast.
bt_remaining_candidates.csv,The cow is reddish brown.
bt_remaining_candidates.csv,The cow is dark brown.
bt_remaining_candidates.csv,The white cow is mine.
bt_remaining_candidates.csv,I want a black cow.
bt_remaining_candidates.csv,The green grass is fresh.
bt_remaining_candidates.csv,What colour is the cow?
bt_remaining_candidates.csv,The cow is light brown.
bt_remaining_candidates.csv,The cloth is dark blue.
bt_remaining_candidates.csv,one who climbs the table
bt_remaining_candidates.csv,one who does not study
bt_remaining_candidates.csv,one who does not dance
bt_remaining_candidates.csv,person who refuses to dance
bt_remaining_candidates.csv,one who does not ask
bt_remaining_candidates.csv,one who does not look
bt_remaining_candidates.csv,one who does not drink
bt_remaining_candidates.csv,one who does not arrive
bt_remaining_candidates.csv,one who does not bring
bt_remaining_candidates.csv,person who never brings anything
bt_remaining_candidates.csv,He is a gloomy person who never laughs.
bt_remaining_candidates.csv,She is a dirty person who never bathes.
bt_remaining_candidates.csv,He is a touchy person.
bt_remaining_candidates.csv,The gloomy person sat alone.
bt_remaining_candidates.csv,A dirty person is not welcome.
bt_remaining_candidates.csv,She is a silent person.
bt_remaining_candidates.csv,A person who never eats is sick.
bt_remaining_candidates.csv,one who always goes to parties
bt_remaining_candidates.csv,"one who is always visiting, idler"
bt_remaining_candidates.csv,The professional cultivator works hard.
bt_remaining_candidates.csv,The permanent widow lives alone.
bt_remaining_candidates.csv,The professional builder built the house.
bt_remaining_candidates.csv,The professional hunter caught a lion.
bt_remaining_candidates.csv,The glutton ate all the food.
bt_remaining_candidates.csv,The insolent child broke the cup.
bt_remaining_candidates.csv,That clumsy man fell down.
bt_remaining_candidates.csv,The troublesome youth ran away.
bt_remaining_candidates.csv,The mongoose is in its place.
bt_remaining_candidates.csv,The animal is at its place.
