english,lunyoro
The NRA developed a parallel administration.,NRA ekatandikaho ekora endi
The NRA will develop a parallel administration.,NRA nejakutandikaho ekora endi
The NRA has developed a parallel administration.,NRA etandikire enkora endi
"By 2030, we achieve a significant reduction in the loss of biodiversity.","omumwaka gw'enkumi ibiri asaatu tufunire okukeha kwingi muno hakusisika kwobuhanwa"
"By 2030, we achieved a significant reduction in the loss of biodiversity.","omwaka gw'enkumi ibiri asaatu tukatunga okukeha kwingi muno habwokusisikara kwobuhangwa"
"By 2030, we have achieved a significant reduction in the loss of biodiversity.","omwaka gw'enkumi ibiri asaatu, tutungire okukeha kwingi muno mukukeha kw'ebyobuhanga"
She manages a team for years before she became director.,arolera ekitebe kumara emyaka nyingi atakabaire mukuru
She will manage a team for years before she became director.,aija kurolera ekitebe kumare emyaka atakabaire mukuru
She has managed a team for years before she became director.,arolerire ekitebe kumara emyaka atakabaire mukuru
Our village always helped those who are in need.,ekyaro kaitu kiguma nikiyamba abo boona abatakwesobora
Our village will always help those who are in need.,ekyaro kaitu kiraguma nikiyamba abo boona abatakwesobora
Our village has always helped those who are in need.,ekyaro kaitu kibaire nikiyamba abo boona abatakwesobora
The new trade deal boosts agricultural exports.,enkoragana empyaka eyobusubuzi imukya ebitundwa ye bw'obulimi aheru yihanga
The new trade deal boosted agricultural exports.,enkoragana empyaka eyobusubuzi ekaimukya ebitundwa ye bw'obulimi aheru yihanga
The new trade deal has boosted agricultural exports.,enkoragana empyaka eyobusubuzi imukize entundwa ye bw'obulimi aheru yihanga
He invests in a real estate investment trust.,omusaija ateka sente ze omumasamba
He invested in a real estate investment trust.,omusaija akateka sente ze omumasamba
He will invest in a real estate investment trust.,omusaija naija kuteka sente ze omumasamba
The treatment was expensive but effective.,obujanjabi byasente nyingi baitu nibukoraho
The treatment will be expensive but effective.,obujanjabi bwali bwasente nyingi baitu nibukoraho
The treatment has been expensive but effective.,obujanjabi bubaire bwasente nyingi baitu nibukoraho
My grandmother weaves baskets for the market for many years.,nyinenkuru nyowe arukaka ebigega eby'akatale kumara emyaka nyingi
My grandmother will weave baskets for the market for many years.,nyinenkuru nyowe naija kuruka ebibo eby'akatale kumara emyaka nyingi
My grandmother has woven baskets for the market for many years.,nyinenkuru nyowe arukire ebigega eby'akatale kumara emyaka nyingi
Traditional music and danced accompained ceremonies.,ebizina byenzarwa hamu n'okucekeca n'orunyege biba mubulimukoro
Traditional music and will dance accompained ceremonies.,ebizina byenzarwa hamu n'okucekeca n'orunyegebirabaga mubuli mukoro
Traditional music and has danced accompained ceremonies.,ebizina byenzarwa hamu n'okucekeca n'orunyege bibaire mokijaguzo
She works in the accounting department for years before she became CFO.,omukazi abaire nakorra mukeeto kumara emyaka atkabaire CFO
She will work in the accounting department for years before she became CFO.,omukazi aija kukora omukeeto kumara emyaka nyingi atakafokere CFO
