english,runyoro
He's barking up the wrong tree.,Omuhabiremu abaire atali nuwe.
He will bark up the wrong tree.,naija okubaigora omuti ogutali nugwo
He has barked up the wrong tree.,aboigolire omuti ogutali nigwo
Some of the most important things I've learned had nothing to do with school.,Ebintu ebimu ebirukukira OBUKURU ebinayegere bikaba bitaine KAKWAATE NEBIBEEGA omu Isomero.
Some of the most important things I have nothing to do with school.,ebintu ebimu ebyomugaso tinyine ekikwetagisa isomero
Some of the most important things I will have nothing to do with school.,ebentu ebimu ebyomugaso tikwija okwetagisa isomero
Some of the most important things I have had nothing to do with school.,ebintu ebimu ebyomugasotinyine ekikwetagisa isomero
The company is expanding its e-commerce operations.,Kampuni nigalihya emirimoyayo omubusubuzi obwakalimagezi.
The company expanded its e-commerce operations.,kanpuni ekagalihya enkora yayo ey'okusubura byoma byakalimagezi
The company will expand its e-commerce operations.,kanpuni nija okugalihya enkora yayo ey'okusubura habyoma bakalimagezi
The company has expanded its e-commerce operations.,kanpuni egalihize enkora yayo ey'okukora habyoma byakalimagezi
This is by far the best option.,kirwa nikirra hara oburungi
This was by far the best option.,enu haihi niyo ebaire nsonga nkuru
This will be by far the best option.,enu haihi nija okuba nsonga nkuru
This has been by far the best option.,enu haihi ebaire nsonga kuru
The finance committee is reviewing the proposal.,akakurato akebyensimbi niketegereza ekitekerezo ekitegekerwe
The finance committee reviewed the proposal.,abenkento bakarabyamu amaiso omukihandiko kyentekaniza yaitu
The finance committee will review the proposal.,abekento nibaija okurabyamu amiso omukihandiko kyentekaniza yatu
The finance committee has reviewed the proposal.,abekento barabizemu amaiso omukihandiko kyentekaniza yaitu
I need my phone charging.,nigenza esimu yange egendwehoomuire
I needed my phone charging.,nyikaire niyetagisabwa esimu yanga kuba acagingire
I will need my phone charging.,ninyija okwetagisa esimu yange okuba ecagingire
I have needed my phone charging.,getagisibwe esimu yange okuba ecagingire
The company is acquiring a smaller competitor.,Kampuni netunga hokutundira hataito
The company acquired a smaller competitor.,kanpuni etungirege abahakanizi abataito
The company will acquire a smaller competitor.,kanpuni nija okutunga abahakaniza abataito
The company has acquired a smaller competitor.,kanpuni etungire abahakaniza abataito
They've bought themselves a new car.,begulire motoka empyaka
They bought themselves a new car.,bakegura emotoka empaka bonka na bonka
They will buy themselves a new car.,nibaja okwegura emotoka empyaka bonka na bonka
They have bought themselves a new car.,begulire emotoka empyaka bonka na bonka
"The first time I saw the starts through a telescope, I felt the presence of something infinite.","Omurundi gwange ogwokubanza kurora enyunyuzi mukimulika, nkehurra ndozire ekitakuhwayo."
"The first time I will see the starts through a telescope, I felt the presence of something infinite.","omurundi gwokubanza obundukwija okurora enyunyuzi okuraba omukitangazo, niyija okuhura okubaho kwenkintu ekitakuhwaho"
"The first time I have seen the starts through a telescope, I felt the presence of something infinite.","omurundu gwokubanza okurora enyunyuzi okuraba omukitangazo, nkahura okubaho kwenkintu ekitakuhwayo"
The Tooro kingdom's museum exhibits historical artifacts.,Ekikaro ekyolekerwamu ebintu harumu n'emirimo y'engaro eyaira.
The Tooro kingdom's museum exhibited historical artifacts.,elyahuro ly'ebintu ebyafayo omubukama byatoro likatunga enyonyi y'ekijukyo
The Tooro kingdom's museum will exhibit historical artifacts.,elyahuro ly'ebintu ebyafayo omubukama byatoro nirija okutunga enyonyi y'ebyafayo
The Tooro kingdom's museum has exhibited historical artifacts.,elyahuro ly'ebintu ebyafayo omubukama byatoro litungire enyonyi y'ebyafayo
The inflation rate is expected to rise.,Emihendo y'ebintu nenihirwa kutemba.
