lunyoro,english,domain,pos,letter
aa!,long deep sound denoting disappreciation of what is done by a person who was expected to perform better,General,noun,A
aba,"who, of, these, for",General,pronoun,A
abaanyu,someone's relatives,General,noun,A
abaawe,a word used to refer to one's family members,General,noun,A
abo,"2, for people who are not far from the speaker, those",General,noun,A
abuka,"to come to an end, come to a stop, break up",General,verb,A
abura,"to groan, wail, lament; to bring to an end",General,verb,A
abuuka,to rise quick ly,General,verb,A
abuurra,"to undo, unfasten",General,verb,A
Abwoli,pet nameususaJly given to a male or female childby parent(s) at birth,General,noun,A
Acaali,"pet name given to a male person by bis/her parentsat birth, but dogs may also be petted",Culture And Tradition,noun,A
Adyeri,"pet name given to a person by his/her parents at birth, particularly if the name givento her/him is Kaikara (woman) or Rwakaikara (man)",Culture And Tradition,noun,A
abaanyoko,those who belong to your mother's clan,General,noun,A
abacwezi,rulers of the greater Kitara Empire from about 1300 AD to 1450 AD,History And Historical Accounts,noun,A
abahisi,undertakers for burrying a king. Sing:omuhisi,Governance And Administration,noun,A
aga,"to which possessive roots and self-standing pronouns are added to form possessives, to melt",General,verb,A
agaaga,"to stroke, rub dewlap of cattle",Common Animals,verb,A
agagara,"to sprawl, sit at ease",General,verb,A
agisa,"to cause to melt, make liquid",General,verb,A
agandi,SW. int. greeting: how are you?,General,interjection,A
abahuruzi,warriors: soldiers with experience and skill in fighting especially in the past,Military,noun,A
abaitu,our relatives: a word used to refer to my relatives,General,pronoun,A
abambari,(in Ankole kingdom) favoured male people who used to work in the palace,Governance And Administration,noun,A
abarege,"enemies: people who are not on one's side, opposers, competitors",General,noun,A
abaregera,a type of cows that are known for moving very fast and can move long distances,Common Animals,noun,A
abaroreezi,onlookers: uninvited people who watch what is going on at a ceremony,General,noun,A
abarungi,1) beautiful or good looking people. 2) good hearted people,General,noun,A
abagomborozi,sub county chiefs,General,noun,A
abaryakamu,.intimate friends: people who share common interests,General,noun,A
abasendekereza,. people who accompany a bride when she is getting married,General,noun,A
abasomi,. believers or religious people those who have faith. Sing,General,noun,A
abatangaaza,a name that was given to the cows for Ntare one of the former kings of Ankole,Common Animals,noun,A
abange,mine,General,noun,A
abatangaazi,people who brought cows to Buganda when there was drought in Ankole in the first half of the 20th century,Nature & Environment,noun,A
abamasaza,county chiefs,General,noun,A
abateruzi,1) potters: men who carry luggage. 2) people who used to lift makeshift brides,General,noun,A
abarusura,elite soilders for protecting the king,Governance And Administration,noun,A
abatuukurani,(in ancient times) people who were killed by swords or spears,History And Historical Accounts,noun,A
abatongole,sub-parish chiefs,General,noun,A
abayonga,dark people especially of the Bahinda clan,General,noun,A
abe,possessive for the sg. third person of his/hers; his/her relatives,General,pronoun,A
abemiruka,parish chiefs,General,noun,A
abaziiki,mourners: people who attend a burial,General,noun,A
abeeteeraine,people who come together for a common cause,General,noun,A
ahabiso,an unclosed place and abit distant,General,noun,A
ahagati,1) between: bordered by two things. 2) being at the centre,General,adverb,A
agange,mine,General,noun,A
ahaifo,a place at a lower level compared to the other,General,noun,A
ahaiguru,above: the space above something,General,adverb,A
agutamba,he who relieves distress,General,noun,A
aguurra,to thin out seedlings,General,verb,A
aha,negation root that needs appropriategenitive particle to mean that somethingor a person is not there,General,particle,A
ahamaisho,".face:front part of the head that comprises of the eyes, nose and the mouth",General,noun,A
aheeru,"adv., out, outside",General,adverb,A
aheeru ya,wait for,General,noun,A
aho,there,General,noun,A
abonaaho,"immediately, at once",General,noun,A
ahukaniza,"to separate, divide, differentiate",General,verb,A
ahukira,to begin to graze cattle; hasten to,Common Animals,verb,A
ahukiza,to begin to graze cattle; hasten to,Common Animals,verb,A
ahura,"put a side, store, take care of",General,verb,A
ahuza,entrust with,General,noun,A
abukana,to part from,General,verb,A
ahamweija,a word used to refer to a place already talked about and known to two or more people,General,noun,A
ahonaaho,at that very moment,General,adverb,A
ahandi,1) somewhere: undisclosed place. 2) elsewhere: another place,General,noun,A
ahansi,"the place beneath, or under",General,noun,A
ahantu,"an area, or part of region or place",General,noun,A
akaamuje,squirrel,Common Animals,noun,A
ahanyima,indicating sequence of events,General,noun,A
akabanda,"pancake: a thin flat round cake of sweetened dough, yellow bananas and cassava flour. Usage: NK. Pl: otubanda, obubanda",General,noun,A
akabbarama,eagle,Common Animals,noun,A
aharubaju,on the side out of other people's hearing,General,adverb,A
aharuguru,raised area: an area that is above the other in terms of position,General,noun,A
aheekiikire,a place which cannot be easily seen or accessed,General,noun,A
ai nuunu,"expression to mean oh, how good!",General,interjection,A
aima,expression of disgust: shame up on you!,General,interjection,A
akacapali,style of making love when the sexual organs get in contact creating a certain sound,General,noun,A
akadoima,type of caterpillar that destroys crops,Common Animals,noun,A
akagemo,"force,compulsion",General,noun,A
aitu,belonging to or connected with a group that one is part of,General,pronoun,A
akaabunga,up in the sky,General,adverb,A
akaakiiro,thirst: too much urgue for something to drink,General,noun,A
akaaku,trunk of an elephant that it uses for feeding and protection,General,noun,A
akagirita,"razor blade,shaving blade",General,noun,A
akaamunaana,exaggeration: explaining beyond the truth of the matter,General,noun,A
akaanirampanga,a bird of prey with hooked bill and sharp eye sight,Biology,noun,A
akagobo,win in a game,General,noun,A
akaano,valley: low lying part between hills,General,noun,A
akaanya,shortest period of time,General,noun,A
akaanya-bwanya,a short time: shortest time possible,General,noun,A
akaara-kahera,toe or inger: small finger,General,noun,A
akaari,ululation: a loud cry of happiness or excitement,General,interjection,A
akahanika,"bra,underwear to support women's breasts",General,noun,A
akahoiga,small dust of leaves speck,General,noun,A
akaaro,small village: a group of households in a rural setting,General,noun,A
akaatika,small crack: a line on the surface of something along which it has split,General,noun,A
akaaya,a type of swamp,General,noun,A
akabaaho,small piece of timber: a sawed piece of wood,General,noun,A
akabaare,blackstone: a small stone used for sucking venon from the body,General,noun,A
abaabana,"to disperse, separate, wail with signs of despair",General,verb,A
abaabata,"to grope about, feel for",General,verb,A
Abbooki,pet name ususaJly given to a male or female child by parent(s) at birth,General,noun,A
akababa-bahiigi,a small caterpillar,Common Animals,noun,A
akahooho,nice scent,General,noun,A
akababagazi,initial stage of flowering,General,noun,A
akabi,danger or trouble: likehood of being injured or killed,General,noun,A
akabibiro,small basket: small seed basket that is used in sowing,General,noun,A
